

   3                   : lake code
Henderson Lk        Processed by Stephanie Chalmers July 24, 2007
070628                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

overcast, heavy rain and light wind                                                                           

depth / transect / targets / %sockeye / %stickleback

  2-5   1      0  0.88  0.12
  2-5   2      1  0.88  0.12
  2-5   3      3  0.88  0.12
  2-5   4      2  0.88  0.12
  2-5   5      1  0.88  0.12
  2-5   6     12  0.88  0.12
  2-5   7      0  0.88  0.12
  2-5   8      3  0.88  0.12
  2-5   9      6  0.88  0.12
  2-5  10     23  0.88  0.12
  2-5  11     11  0.88  0.12
  2-5  12     19  0.88  0.12
  2-5  13     14  0.88  0.12
  2-5  14      7  0.88  0.12
  2-5  15      6  0.88  0.12
  2-5  16      0  0.00  0.00
  2-5  17      0  0.00  0.00
  2-5  18      0  0.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
  3-5   7      0  0.00  0.00
  3-5   8      0  0.00  0.00
  3-5   9      0  0.00  0.00
  3-5  10      0  0.00  0.00
  3-5  11      0  0.00  0.00
  3-5  12      0  0.00  0.00
  3-5  13      0  0.00  0.00
  3-5  14      0  0.00  0.00
  3-5  15      0  0.00  0.00
  3-5  16      0  0.00  0.00
  3-5  17      0  0.00  0.00
  3-5  18      0  0.00  0.00
 5-10   1      1  0.88  0.12
 5-10   2      7  0.88  0.12
 5-10   3     12  0.88  0.12
 5-10   4     14  0.88  0.12
 5-10   5      3  0.88  0.12
 5-10   6    133  0.88  0.12
 5-10   7      2  0.88  0.12
 5-10   8     15  0.88  0.12
 5-10   9     11  0.88  0.12
 5-10  10     73  0.88  0.12
 5-10  11     24  0.88  0.12
 5-10  12     90  0.88  0.12
 5-10  13    179  0.88  0.12
 5-10  14     16  0.88  0.12
 5-10  15     10  0.88  0.12
 5-10  16      0  0.00  0.00
