

   1                   : lake code
GCL                 Processed by PR, 15Feb2005.
040122                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
nomn;100pctcc;modEwnd;nomn;AT-;ST3.9.
19Jan04/15Feb04/pr/EY500//0/0/0/14/181/168.                                                                   

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  1.00  0.00
  2-5   2      1  1.00  0.00
  2-5   3      1  1.00  0.00
  2-5   4      1  1.00  0.00
  2-5   5     42  1.00  0.00
  2-5   6      6  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     13  1.00  0.00
 5-10   2     23  1.00  0.00
 5-10   3     20  0.07  0.93
 5-10   4     46  0.07  0.93
 5-10   5    634  0.07  0.93
 5-10   6    267  0.07  0.93
10-15   1     62  1.00  0.00
10-15   2    104  1.00  0.00
10-15   3     28  0.40  0.60
10-15   4    178  0.40  0.60
10-15   5    394  0.40  0.60
10-15   6    190  0.40  0.60
15-20   1     65  1.00  0.00
15-20   2     56  1.00  0.00
15-20   3     91  1.00  0.00
15-20   4     72  1.00  0.00
15-20   5    266  1.00  0.00
15-20   6     83  1.00  0.00
20-30   1    160  1.00  0.00
20-30   2    186  1.00  0.00
20-30   3    189  1.00  0.00
20-30   4    273  1.00  0.00
20-30   5    735  1.00  0.00
20-30   6    479  1.00  0.00
30-40   1    152  1.00  0.00
30-40   2    348  1.00  0.00
30-40   3    301  1.00  0.00
30-40   4    464  1.00  0.00
30-40   5    905  1.00  0.00
30-40   6    908  1.00  0.00
40-50   1    151  1.00  0.00
40-50   2    604  1.00  0.00
40-50   3    321  1.00  0.00
40-50   4    704  1.00  0.00
40-50   5    538  1.00  0.00
40-50   6    770  1.00  0.00
50-60   1    134  1.00  0.00
50-60   2    856  1.00  0.00
50-60   3    283  1.00  0.00
50-60   4    609  1.00  0.00
50-60   5    207  1.00  0.00
50-60   6    322  1.00  0.00
60-70   1    231  1.00  0.00
60-70   2    121  1.00  0.00
60-70   3    125  1.00  0.00
60-70   4     99  1.00  0.00
60-70   5    104  1.00  0.00
60-70   6     72  1.00  0.00
70-80   1      0  0.00  0.00
70-80   2      0  0.00  0.00
70-80   3      0  0.00  0.00
70-80   4      0  0.00  0.00
70-80   5      0  0.00  0.00
70-80   6      0  0.00  0.00
80-90   1      0  0.00  0.00
80-90   2      0  0.00  0.00
80-90   3      0  0.00  0.00
80-90   4      0  0.00  0.00
80-90   5      0  0.00  0.00
80-90   6      0  0.00  0.00
90-100  1      0  0.00  0.00
90-100  2      0  0.00  0.00
90-100  3      0  0.00  0.00
90-100  4      0  0.00  0.00
90-100  5      0  0.00  0.00
90-100  6      0  0.00  0.00


   1                   : lake code
GCL                 Processed by PR, 15Feb2005.
040123                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
nomn;100pctcc;modEwnd;nomn;AT-;ST3.9.
Adjusted for size-bias trawl effect.                                                                          

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  1.00  0.00
  2-5   2      1  1.00  0.00
  2-5   3      1  1.00  0.00
  2-5   4      1  1.00  0.00
  2-5   5     42  1.00  0.00
  2-5   6      6  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     13  1.00  0.00
 5-10   2     23  1.00  0.00
 5-10   3     20  0.28  0.72
 5-10   4     46  0.28  0.72
 5-10   5    634  0.28  0.72
 5-10   6    267  0.28  0.72
10-15   1     62  1.00  0.00
10-15   2    104  1.00  0.00
10-15   3     28  0.78  0.22
10-15   4    178  0.78  0.22
10-15   5    394  0.78  0.22
10-15   6    190  0.78  0.22
15-20   1     65  1.00  0.00
15-20   2     56  1.00  0.00
15-20   3     91  1.00  0.00
15-20   4     72  1.00  0.00
15-20   5    266  1.00  0.00
15-20   6     83  1.00  0.00
20-30   1    160  1.00  0.00
20-30   2    186  1.00  0.00
20-30   3    189  1.00  0.00
20-30   4    273  1.00  0.00
20-30   5    735  1.00  0.00
20-30   6    479  1.00  0.00
30-40   1    152  1.00  0.00
30-40   2    348  1.00  0.00
30-40   3    301  1.00  0.00
30-40   4    464  1.00  0.00
30-40   5    905  1.00  0.00
30-40   6    908  1.00  0.00
40-50   1    151  1.00  0.00
40-50   2    604  1.00  0.00
40-50   3    321  1.00  0.00
40-50   4    704  1.00  0.00
40-50   5    538  1.00  0.00
40-50   6    770  1.00  0.00
50-60   1    134  1.00  0.00
50-60   2    856  1.00  0.00
50-60   3    283  1.00  0.00
50-60   4    609  1.00  0.00
50-60   5    207  1.00  0.00
50-60   6    322  1.00  0.00
60-70   1    231  1.00  0.00
60-70   2    121  1.00  0.00
60-70   3    125  1.00  0.00
60-70   4     99  1.00  0.00
60-70   5    104  1.00  0.00
60-70   6     72  1.00  0.00
70-80   1      0  0.00  0.00
70-80   2      0  0.00  0.00
70-80   3      0  0.00  0.00
70-80   4      0  0.00  0.00
70-80   5      0  0.00  0.00
70-80   6      0  0.00  0.00
80-90   1      0  0.00  0.00
80-90   2      0  0.00  0.00
80-90   3      0  0.00  0.00
80-90   4      0  0.00  0.00
80-90   5      0  0.00  0.00
80-90   6      0  0.00  0.00
90-100  1      0  0.00  0.00
90-100  2      0  0.00  0.00
90-100  3      0  0.00  0.00
90-100  4      0  0.00  0.00
90-100  5      0  0.00  0.00
90-100  6      0  0.00  0.00


   3                   : lake code
Henderson Lk        processed by pr, 14May2004
040309                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
clm,clr,fllmn,AT4WT6@2300
