

   1                   : lake code
GCL                 Rankin - Hanslit Survey (HS testing)
001129                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80. Adjusted for size selectivity.

depth / transect / targets / %sockeye / %stickleback

  2-5   1      0  0.27  0.73
  2-5   2      0  0.27  0.73
  2-5   3      2  0.00  1.00
  2-5   4      3  0.00  1.00
  2-5   5      0  0.27  0.73
  2-5   6      2  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     45  0.47  0.53
 5-10   2    240  0.47  0.53
 5-10   3    295  0.47  0.53
 5-10   4    388  0.47  0.53
 5-10   5    234  0.47  0.53
 5-10   6    139  0.47  0.53
10-15   1    199  0.29  0.71
10-15   2    165  0.29  0.71
10-15   3    213  0.29  0.71
10-15   4    498  0.29  0.71
10-15   5    555  0.29  0.71
10-15   6    775  0.29  0.71
15-20   1    182  1.00  0.00
15-20   2    251  1.00  0.00
15-20   3    227  1.00  0.00
15-20   4    551  1.00  0.00
15-20   5    492  1.00  0.00
15-20   6    396  1.00  0.00
20-30   1    305  1.00  0.00
20-30   2    508  1.00  0.00
20-30   3    533  1.00  0.00
20-30   4   1109  1.00  0.00
20-30   5   1560  1.00  0.00
20-30   6   1013  1.00  0.00
30-40   1    119  1.00  0.00
30-40   2    250  1.00  0.00
30-40   3    244  1.00  0.00
30-40   4    523  1.00  0.00
30-40   5   1224  1.00  0.00
30-40   6    450  1.00  0.00
40-50   1     28  1.00  0.00
40-50   2    140  1.00  0.00
40-50   3    107  1.00  0.00
40-50   4    127  1.00  0.00
40-50   5    320  1.00  0.00
40-50   6    147  1.00  0.00
50-60   1      0  0.00  0.00
50-60   2      0  0.00  0.00
50-60   3      0  0.00  0.00
50-60   4      0  0.00  0.00
50-60   5      0  0.00  0.00
50-60   6      0  0.00  0.00
60-70   1      0  0.00  0.00
60-70   2      0  0.00  0.00
60-70   3      0  0.00  0.00
60-70   4      0  0.00  0.00
60-70   5      0  0.00  0.00
60-70   6      0  0.00  0.00
70-80   1      0  0.00  0.00
70-80   2      0  0.00  0.00
70-80   3      0  0.00  0.00
70-80   4      0  0.00  0.00
70-80   5      0  0.00  0.00
70-80   6      0  0.00  0.00
80-90   1      0  0.00  0.00
80-90   2      0  0.00  0.00
80-90   3      0  0.00  0.00
80-90   4      0  0.00  0.00
80-90   5      0  0.00  0.00
80-90   6      0  0.00  0.00
90-100  1      0  0.00  0.00
90-100  2      0  0.00  0.00
90-100  3      0  0.00  0.00
90-100  4      0  0.00  0.00
90-100  5      0  0.00  0.00
90-100  6      0  0.00  0.00


   1                   : lake code
GCL                 Rankin - Hanslit Survey
001130                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80 - duplicate target counts but spp proportions different {hs 25/10/07)                                                                      

depth / transect / targets / %sockeye / %stickleback

  2-5   1      0  0.27  0.73
  2-5   2      0  0.27  0.73
  2-5   3      2  0.27  0.73
  2-5   4      3  0.27  0.73
  2-5   5      0  0.27  0.73
  2-5   6      2  0.27  0.73
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     45  0.27  0.73
 5-10   2    240  0.27  0.73
 5-10   3    295  0.27  0.73
 5-10   4    388  0.27  0.73
 5-10   5    234  0.27  0.73
 5-10   6    139  0.27  0.73
10-15   1    199  0.14  0.86
10-15   2    165  0.14  0.86
10-15   3    213  0.14  0.86
10-15   4    498  0.14  0.86
10-15   5    555  0.14  0.86
10-15   6    775  0.14  0.86
15-20   1    182  1.00  0.00
15-20   2    251  1.00  0.00
15-20   3    227  1.00  0.00
15-20   4    551  1.00  0.00
15-20   5    492  1.00  0.00
15-20   6    396  1.00  0.00
20-30   1    305  1.00  0.00
20-30   2    508  1.00  0.00
20-30   3    533  1.00  0.00
20-30   4   1109  1.00  0.00
