

   1                   : lake code
GCL                 Rankin Hanslit Suey
980728                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  1.00  0.00
  2-5   2     11  1.00  0.00
  2-5   3      1  1.00  0.00
  2-5   4      3  1.00  0.00
  2-5   5      3  1.00  0.00
  2-5   6      1  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     65  1.00  0.00
 5-10   2     76  1.00  0.00
 5-10   3      5  1.00  0.00
 5-10   4     17  1.00  0.00
 5-10   5     18  1.00  0.00
 5-10   6     11  1.00  0.00
10-15   1    325  1.00  0.00
10-15   2    470  1.00  0.00
10-15   3    243  1.00  0.00
10-15   4    444  1.00  0.00
10-15   5   1222  1.00  0.00
10-15   6    474  1.00  0.00
15-20   1    264  1.00  0.00
15-20   2    719  1.00  0.00
15-20   3    340  1.00  0.00
15-20   4    521  1.00  0.00
15-20   5    693  1.00  0.00
15-20   6    236  1.00  0.00
20-30   1     80  1.00  0.00
20-30   2    130  1.00  0.00
20-30   3     36  1.00  0.00
20-30   4    133  1.00  0.00
20-30   5     83  1.00  0.00
20-30   6     39  1.00  0.00
30-40   1     10  1.00  0.00
30-40   2      6  1.00  0.00
30-40   3      3  1.00  0.00
30-40   4     12  1.00  0.00
30-40   5      7  1.00  0.00
30-40   6      4  1.00  0.00
40-50   1      2  1.00  0.00
40-50   2      2  1.00  0.00
40-50   3      0  1.00  0.00
40-50   4      4  1.00  0.00
40-50   5      0  1.00  0.00
40-50   6      0  1.00  0.00
50-60   1      0  1.00  0.00
50-60   2      0  1.00  0.00
50-60   3      0  1.00  0.00
50-60   4      0  1.00  0.00
50-60   5      0  1.00  0.00
50-60   6      0  1.00  0.00
60-70   1      0  1.00  0.00
60-70   2      0  1.00  0.00
60-70   3      0  1.00  0.00
60-70   4      0  1.00  0.00
60-70   5      0  1.00  0.00
60-70   6      0  1.00  0.00
70-80   1      0  1.00  0.00
70-80   2      0  1.00  0.00
70-80   3      0  1.00  0.00
70-80   4      0  1.00  0.00
70-80   5      0  1.00  0.00
70-80   6      0  1.00  0.00
80-90   1      0  1.00  0.00
80-90   2      0  1.00  0.00
80-90   3      0  1.00  0.00
80-90   4      0  1.00  0.00
80-90   5      0  1.00  0.00
80-90   6      0  1.00  0.00
90-100  1      0  1.00  0.00
90-100  2      0  1.00  0.00
90-100  3      0  1.00  0.00
90-100  4      0  1.00  0.00
90-100  5      0  1.00  0.00
90-100  6      0  1.00  0.00


   1                   : lake code
GCL                 Rankin Hanslit Survey
981202                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

2Dec98/5Jan98/BH/EYM/20069/0/0/0/11/120/28                                                                    

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.25  0.75
  2-5   2      2  0.25  0.75
  2-5   3      0  0.25  0.75
  2-5   4      3  0.25  0.75
  2-5   5     14  0.25  0.75
  2-5   6     12  0.25  0.75
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     65  0.33  0.67
 5-10   2     73  0.33  0.67
 5-10   3     33  0.33  0.67
 5-10   4     46  0.33  0.67
 5-10   5     97  0.33  0.67
 5-10   6     68  0.33  0.67
10-15   1    102  0.50  0.50
10-15   2    138  0.50  0.50
10-15   3     73  0.50  0.50
10-15   4    120  0.50  0.50
10-15   5     85  0.50  5.00
10-15   6    107  0.50  0.50
15-20   1     93  1.00  0.00
15-20   2    263  1.00  0.00
15-20   3    164  1.00  0.00
15-20   4    222  1.00  0.00
15-20   5    212  1.00  0.00
15-20   6    120  1.00  0.00
20-30   1    150  1.00  0.00
20-30   2    700  1.00  0.00
20-30   3    399  1.00  0.00
20-30   4    718  1.00  0.00
20-30   5    579  1.00  0.00
20-30   6    411  1.00  0.00
30-40   1    121  1.00  0.00
30-40   2    550  1.00  0.00
30-40   3    545  1.00  0.00
30-40   4    906  1.00  0.00
30-40   5    838  1.00  0.00
30-40   6    448  1.00  0.00
40-50   1    113  1.00  0.00
40-50   2    618  1.00  0.00
40-50   3    464  1.00  0.00
40-50   4   1206  1.00  0.00
40-50   5    766  1.00  0.00
40-50   6    884  1.00  0.00
50-60   1     89  1.00  0.00
50-60   2    429  1.00  0.00
50-60   3    343  1.00  0.00
50-60   4    840  1.00  0.00
50-60   5    724  1.00  0.00
50-60   6    939  1.00  0.00
60-70   1     28  1.00  0.00
60-70   2    106  1.00  0.00
60-70   3    131  1.00  0.00
60-70   4    250  1.00  0.00
60-70   5    362  1.00  0.00
60-70   6    290  1.00  0.00
70-80   1     14  1.00  0.00
70-80   2     16  1.00  0.00
70-80   3     39  1.00  0.00
70-80   4     45  1.00  0.00
70-80   5     46  1.00  0.00
70-80   6     65  1.00  0.00
80-90   1      0  1.00  0.00
80-90   2      0  1.00  0.00
80-90   3      0  1.00  0.00
80-90   4      0  1.00  0.00
80-90   5      0  1.00  0.00
80-90   6      0  1.00  0.00
90-100  1      0  1.00  0.00
90-100  2      0  1.00  0.00
90-100  3      0  1.00  0.00
90-100  4      0  1.00  0.00
90-100  5      0  1.00  0.00
90-100  6      0  1.00  0.00


   1                   : lake code
GCL                 Rankin Hanslit Survey
981203                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

2Dec98/5Jan98/BH/EYM/20069/0/0/0/11/120/28                                                                    

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.00  1.00
  2-5   2      2  0.00  1.00
  2-5   3      0  0.00  1.00
  2-5   4      3  0.00  1.00
  2-5   5     14  0.00  1.00
  2-5   6     12  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     65  0.59  0.41
 5-10   2     73  0.59  0.41
 5-10   3     33  0.59  0.41
 5-10   4     46  0.59  0.41
 5-10   5     97  0.59  0.41
 5-10   6     68  0.59  0.41
10-15   1    102  0.67  0.33
10-15   2    138  0.67  0.33
10-15   3     73  0.67  0.33
10-15   4    120  0.67  0.33
10-15   5     85  0.67  0.33
10-15   6    107  0.67  0.33
15-20   1     93  0.81  0.19
15-20   2    263  0.81  0.19
15-20   3    164  0.81  0.19
15-20   4    222  0.81  0.19
15-20   5    212  0.81  0.19
15-20   6    120  0.81  0.19
20-30   1    150  1.00  0.00
20-30   2    700  1.00  0.00
20-30   3    399  1.00  0.00
20-30   4    718  1.00  0.00
20-30   5    579  1.00  0.00
20-30   6    411  1.00  0.00
30-40   1    121  1.00  0.00
30-40   2    550  1.00  0.00
30-40   3    545  1.00  0.00
