"species_common_name","lake_name","sample_counts","min(fish_length_mm)","mean(fish_length_mm)","max(fish_length_mm)","min(fish_weight_g)","mean(fish_weight_g)","max(fish_weight_g)"
"Sockeye","Nimpkish Lake",1862,25,44.13,81,0.1,1.03,6.16
"Sockeye","Owikeno Lake",13559,17,41.25,89,0.05,0.82,10.1
"Sockeye","Phillips Lake",412,30,59.65,109,0.21,3.11,13.54
"Sockeye","Port John Lake",34,38,48.68,59,0.54,1.33,2.41
"Sockeye","Power Lake",73,32,61.26,121,0.27,4.29,19.37
"Sockeye","Quatse Lake",139,48,71.96,113,1.22,4.86,16.2
"Sockeye","Schoen Lake",84,37,54.3,126,0.41,2.19,23.8
"Sockeye","Simpson Lake",2,26,27.5,29,0.1,0.17,0.24
"Sockeye","Skidegate Lake",627,25,60.45,138,0.11,3.81,40.29
"Sockeye","Sproat Lake",3536,26,57.43,162,0.14,2.16,49.78
"Sockeye","Sproat Lake (Two R)",39,28,60.33,75,0.2,2.48,4.45
"Sockeye","Stephens Lake",48,33,50.79,84,0.4,1.73,6.99
"Sockeye","Swan Lake",43,28,45.28,91,0.23,1.15,6.23
"Sockeye","Tahltan Lake",859,35,74.75,135,0.22,4.8,26.13
"Sockeye","Tatsamenie Lake",162,28,44.1,104,0.09,0.9,12.58
"Sockeye","Trapper Lake",802,NA,NA,NA,NA,NA,NA
"Sockeye","Uchuck Lake",25,36,58.96,181,0.46,7.36,75.11
"Sockeye","Vernon Lake",614,27,46.17,147,0.17,1.24,40.61
"Sockeye","Woss Lake",3489,23,44.97,143,0.11,1.03,31.28
"Sockeye","Yakoun Lake",2673,24,39.25,106,0.1,0.83,14.48
"Stickleback","Alastair Lake",335,26,48.62,70,0.13,1.19,3.84
"Stickleback","Awun Lake",76,41,83.67,107,0.62,7.01,12.73
"Stickleback","Bonilla Lake",3545,20,52.15,95,0.06,1.4,5.13
"Stickleback","Brannen Lake",374,29,44.37,74,0.22,0.98,5.19
"Stickleback","Cheewhat Lake",1841,25,48.56,90,0.14,1.43,8.37
"Stickleback","Curtis Lake",1799,24,42.07,66,0.09,0.65,2.95
"Stickleback","Devon Lake",6897,20,43.17,66,0.05,0.74,2.88
"Stickleback","Dragon Lake",319,25,40.27,88,0.11,0.67,6.08
"Stickleback","Eden Lake",63,29,62.98,101,0.22,3.22,10.64
"Stickleback","Ellerslie Lake",1,34,34,34,0.34,0.34,0.34
"Stickleback","Glendale Lake",11,55,66.55,77,1.54,2.81,4.24
"Stickleback","Great Central Lake",546,19,60.11,78,0.07,2.54,6.46
"Stickleback","Henderson Lake",2221,21,50.25,81,0.08,1.65,6.05
"Stickleback","Hesquiat Lake",12,27,46.92,71,0.24,1.33,3.77
"Stickleback","Hobiton Lake",28,23,41.32,63,0.1,0.74,2.33
"Stickleback","Ian Lake",14,32,60.79,115,0.22,4.26,15.85
"Stickleback","Jansen Lake",10,17,33.7,55,0.03,0.46,1.28
"Stickleback","Kennedy Lake (Clay)",16319,NA,NA,NA,0.02,0.96,3.87
"Stickleback","Kennedy Lake (Main)",17104,7,39.03,71,0.02,0.62,4.04
"Stickleback","Kitlope Lake",32,35,46.22,57,0.35,1.07,1.92
"Stickleback","Long Lake",13686,17,49.87,88,NA,NA,NA
"Stickleback","Long Lake (A)",943,19,47.75,73,0.04,1.21,3.74
"Stickleback","Long Lake (B)",1628,16,48.75,73,0.03,1.16,3.44
"Stickleback","Lowe Lake",1,52,52,52,1.28,1.28,1.28
"Stickleback","Maggie Lake",1,30,30,30,0.21,0.21,0.21
"Stickleback","Mathers Lake",121,29,71.78,84,0.2,3.6,5.77
"Stickleback","Megin Lake",99,20,72.05,97,0.07,4.8,9.92
"Stickleback","Mercer Lake",1138,19,50.55,77,0.05,1.55,5.15
"Stickleback","Muchalat Lake",1,66,66,66,3.71,3.71,3.71
"Stickleback","Muriel Lake",407,19,39.11,61,0.04,0.56,2.53
"Stickleback","Nahmint Lake",1,59,59,59,2.36,2.36,2.36
"Stickleback","Nimpkish Lake",875,15,63.47,96,0.02,2.53,6.11
"Stickleback","Owikeno Lake",5209,11,43.88,78,NA,NA,NA
"Stickleback","Phillips Lake",60,37,80.62,104,0.54,7.3,15.63
"Stickleback","Port John Lake",60,35,65.38,98,0.36,2.75,6.8
"Stickleback","Power Lake",4,46,69.75,87,0.98,4.71,8.08
"Stickleback","Quatse Lake",327,22,61.88,85,0.13,2.73,7.28
"Stickleback","Schoen Lake",1,36,36,36,0.33,0.33,0.33
"Stickleback","Skidegate Lake",1288,18,52.98,107,0.03,2.3,13.36
"Stickleback","Sproat Lake",166,21,41.86,70,0.08,0.81,5.05
"Stickleback","Woss Lake",239,27,42.93,73,0.15,0.94,4.24
"Stickleback","Yakoun Lake",894,18,44.95,63,0.05,0.89,3.11
"Sucker","Damdochax Lake",1,141,141,141,38.95,38.95,38.95
"Whitefish","Damdochax Lake",6,95,112.33,124,9.57,16.68,21.66
"Whitefish","Morrison Lake",5,68,81,93,3.18,5.78,8.83
NA,"Awun Lake",4,NA,NA,NA,NA,NA,NA
NA,"Bear Lake",1,NA,NA,NA,NA,NA,NA
NA,"Cheewhat Lake",2,NA,NA,NA,NA,NA,NA
NA,"Devon Lake",1,NA,NA,NA,NA,NA,NA
NA,"Eden Lake",5,NA,NA,NA,NA,NA,NA
NA,"Great Central Lake",2,NA,NA,NA,NA,NA,NA
NA,"Henderson Lake",5,NA,NA,NA,NA,NA,NA
