"ats_year","n_surveys"
1977,22
1978,48
1979,54
1980,35
1981,56
1982,54
1983,70
1984,106
1985,85
1986,86
1987,118
1988,91
1989,91
1990,95
1991,70
1992,52
1993,30
1994,12
1995,29
1996,32
1997,9
1998,4
1999,3
