"lake_name","ats_year","n_surveys"
"Lowe Lake",1983,1
"Lowe Lake",1984,1
"Lowe Lake",1985,2
"Maggie Lake",1988,2
"Mathers Lake",1984,2
"Mathers Lake",1985,2
"Mathers Lake",1993,2
"Megin Lake",1984,3
"Megin Lake",1985,1
"Megin Lake",1987,1
"Megin Lake",1993,1
"Megin Lake",1995,3
"Mercer Lake",1979,2
"Mercer Lake",1980,1
"Mercer Lake",1981,1
"Mercer Lake",1982,1
"Mercer Lake",1983,1
"Mercer Lake",1984,2
"Mercer Lake",1986,2
"Meziadin Lake",1978,3
"Meziadin Lake",1991,2
"Meziadin Lake",1992,1
"Meziadin Lake",1993,4
"Morice Lake",1978,1
"Morrison Lake",1995,1
"Muchalat Lake",1983,1
"Muchalat Lake",1984,2
"Muchalat Lake",1985,1
"Muchalat Lake",1986,1
"Muchalat Lake",1987,1
"Muchalat Lake",1988,2
"Muchalat Lake",1993,1
"Muchalat Lake",1994,1
"Muchalat Lake",1995,2
"Muriel Lake",1982,1
"Muriel Lake",1983,3
"Muriel Lake",1984,2
"Muriel Lake",1985,7
"Muriel Lake",1986,8
"Muriel Lake",1987,13
"Muriel Lake",1988,8
"Muriel Lake",1989,5
"Muriel Lake",1990,6
"Muriel Lake",1997,1
"Nahmint Lake",1986,1
"Nahmint Lake",1987,4
"Nahmint Lake",1988,4
"Nahwitti Lake",1984,1
"Nahwitti Lake",1985,2
"Nahwitti Lake",1987,2
"Nahwitti Lake",1988,1
"Nimpkish Lake",1978,1
"Nimpkish Lake",1979,1
"Nimpkish Lake",1980,2
"Nimpkish Lake",1981,3
"Nimpkish Lake",1982,8
"Nimpkish Lake",1983,9
"Nimpkish Lake",1984,4
"Nimpkish Lake",1985,4
"Nimpkish Lake",1986,3
"Nimpkish Lake",1987,8
"Nimpkish Lake",1988,2
"Nimpkish Lake",1989,1
"Nimpkish Lake",1990,3
"Nimpkish Lake",1991,2
"No-Name Lake",1988,3
"Owikeno Lake",1978,2
"Owikeno Lake",1987,3
"Owikeno Lake",1988,3
"Owikeno Lake",1989,4
"Owikeno Lake",1990,8
"Owikeno Lake",1991,7
"Owikeno Lake",1992,8
"Owikeno Lake",1995,7
"Owikeno Lake",1996,4
"Phillips Lake",1984,1
"Phillips Lake",1985,1
"Phillips Lake",1986,3
"Phillips Lake",1987,2
"Port John Lake",1983,1
"Power Lake",1985,1
"Power Lake",1986,2
"Quatse Lake",1984,1
"Quatse Lake",1985,3
"Quatse Lake",1986,2
"Quatse Lake",1987,2
"Quatse Lake",1988,2
"Schoen Lake",1987,2
"Schoen Lake",1988,2
"Schoen Lake",1992,1
"Simpson Lake",1978,1
"Skidegate Lake",1985,1
"Skidegate Lake",1986,1
"Skidegate Lake",1987,4
"Skidegate Lake",1988,1
"Skidegate Lake",1989,4
"Skidegate Lake",1990,2
"Skidegate Lake",1991,1
"Skidegate Lake",1992,3
"Skidegate Lake",1993,1
"Skidegate Lake",1996,1
"Skidegate Lake",1997,1
"Sproat Lake",1979,4
"Sproat Lake",1980,2
"Sproat Lake",1981,3
"Sproat Lake",1982,5
"Sproat Lake",1983,5
"Sproat Lake",1984,2
"Sproat Lake",1985,1
"Sproat Lake",1986,7
"Sproat Lake",1987,7
"Sproat Lake",1989,6
"Sproat Lake",1990,6
"Sproat Lake",1991,5
"Sproat Lake",1992,5
"Sproat Lake",1995,1
"Sproat Lake",1996,6
"Sproat Lake",1997,1
"Sproat Lake (Two R)",1989,2
"Stephens Lake",1978,2
"Swan Lake",1978,3
"Swan Lake",1995,1
"Tahltan Lake",1985,1
"Tahltan Lake",1989,8
"Tahltan Lake",1991,3
"Tahltan Lake",1992,4
"Tahltan Lake",1993,3
"Tatsamenie Lake",1991,5
"Tatsamenie Lake",1992,2
"Tatsamenie Lake",1993,3
"Trapper Lake",1991,5
"Uchuck Lake",1988,2
"Vernon Lake",1978,1
"Vernon Lake",1980,1
"Vernon Lake",1986,2
"Vernon Lake",1987,1
"Vernon Lake",1988,1
"Vernon Lake",1990,2
"Vernon Lake",1991,1
"Vernon Lake",1992,1
"Woss Lake",1978,1
"Woss Lake",1979,2
"Woss Lake",1980,1
"Woss Lake",1981,3
"Woss Lake",1982,2
"Woss Lake",1983,4
"Woss Lake",1984,3
"Woss Lake",1985,1
"Woss Lake",1986,2
"Woss Lake",1987,1
"Woss Lake",1988,2
"Woss Lake",1989,4
"Woss Lake",1990,2
