"Lake name","Lake code","Depth min m","Depth max m","Area ha","Transect","Transect length m","Lake latitude","Lake longitude"
"Awun Lake",27,15,20,400,2,870,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,15,20,400,3,594,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,15,20,400,4,249,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,20,30,370,1,496,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,20,30,370,2,831,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,20,30,370,3,566,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,20,30,370,4,221,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,30,40,323,1,433,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,30,40,323,2,779,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,30,40,323,3,512,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,30,40,323,4,156,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,40,50,274,1,336,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,40,50,274,2,675,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,40,50,274,3,464,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,40,50,274,4,0,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,50,60,211,1,240,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,50,60,211,2,575,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,50,60,211,3,429,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,50,60,211,4,0,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,60,70,136,1,0,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,60,70,136,2,0,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,60,70,136,3,0,"53 deg 36 min","132 deg 35 min"
"Awun Lake",27,60,70,136,4,0,"53 deg 36 min","132 deg 35 min"
"Babine Lake",46,NA,NA,NA,NA,NA,"54 deg 45 min","126 deg 00 min"
"Bear Lake",16,2,5,1880,1,538,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,2,5,1880,2,1213,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,2,5,1880,3,495,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,2,5,1880,4,779,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,2,5,1880,5,521,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,2,5,1880,6,305,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,1,538,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,2,1213,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,3,495,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,4,779,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,5,521,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,3,5,1484,6,305,"56 deg 08 min","126 deg 49 min"
"Bear Lake",16,5,10,1084,1,454,"56 deg 08 min","126 deg 49 min"
