"Lake name","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"Klukshu Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kwinageese Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L Trapper Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Link Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Long Lake",1,2,1,4,2,3,5,2,2,2,2,2,3,1,2,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long Lake (A)",1,1,1,3,2,3,4,2,2,2,2,1,3,3,1,2,2,1,1,1,2,2,1,1,2,1,1,NA,1,1,2
"Long Lake (B)",1,2,1,3,2,3,4,2,2,2,2,1,3,3,1,2,2,1,1,1,2,1,1,1,2,2,1,NA,1,1,2
"Lowe Lake",NA,1,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maggie Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathers Lake",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Megin Lake",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercer Lake",NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meziadin Lake",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morice Lake",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morrison Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muchalat Lake",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muriel Lake",NA,NA,NA,NA,NA,1,3,2,4,7,6,4,3,5,NA,NA,NA,NA,3,1,2,NA,1,1,1,1,NA,NA,NA,NA,NA
"Nahmint Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nahwitti Lake",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Nakina Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nimpkish Lake",NA,1,1,1,2,4,4,2,2,1,3,1,2,1,1,1,1,1,1,NA,1,NA,NA,NA,1,3,1,NA,NA,NA,NA
"Osoyoos Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2
"Osoyoos Lake C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osoyoos Lake N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,4,3,2,5,3,2
"Osoyoos Lake S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Owikeno Lake",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Owikeno Lake (A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1
"Owikeno Lake (B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,2,NA,NA,1,1
"Owikeno Lake (C)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Owikeno Lake (D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Phillips Lake",NA,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Port John Lake",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Power Lake",NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quatse Lake",NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Sakinaw Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Schoen Lake",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Simpson Lake",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skaha Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,5,2,4,7,3,3
"Skidegate Lake",NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Skidegate Lake NE",NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA
"Skidegate Lake SW",NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA
"Sproat Lake",NA,NA,2,1,3,3,2,1,1,3,4,1,3,4,3,4,3,2,3,3,3,2,3,1,1,1,1,1,1,1,NA
"Sproat Lake (Two R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephens Lake",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sustut Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swan Lake",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tahltan Lake",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,7,NA,1,2,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Takla Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tatsamenie Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,4,4,1,2,3,2,1,1,1,NA,NA
"Trapper Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Tuya Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA
"Uchuck Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vernon Lake",NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,4,4,7,3,3,4,3,3
"Village Bay_2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Woss Lake",NA,1,1,1,3,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,5,6,8,4,4,4,3,4
"Yakoun Lake",NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,1,1,1,1,2,3,3,1,2,1,NA,NA,NA,1,NA,NA,NA,NA
