"Lake name","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"Kennedy Lake (Main)","2 | 5","2 | 5","1 | 7","1 | 1","3 | 4","2 | 3","2 | 4","2 | 0","3 | 4","10 | 9","4 | 5","4 | 0","3 | 8","4 | 12","1 | 1","1 | 0","2 | 0","2 | 2","4 | 2","1 | 2","2 | 0","-","1 | 0","2 | 0","1 | 0","1 | 0","-","1 | 0","1 | 0","1 | 0","-"
"Khtada Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","-","-","-","-","-"
"Kingsalmon Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-","-","-","-","-"
"Kitlope Lake","-","2 | 3","1 | 4","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kitwanga Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-"
"Klukshu Lake","-","-","-","-","-","-","-","-","-","-","-","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kwinageese Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"L Trapper Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","1 | 0","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-"
"Link Lake","-","-","-","-","-","-","-","-","-","-","-","1 | 3","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Long Lake","0 | 1","0 | 4","0 | 1","0 | 6","0 | 4","0 | 5","0 | 9","0 | 5","0 | 4","0 | 5","0 | 5","0 | 7","0 | 8","0 | 3","0 | 4","0 | 7","0 | 5","0 | 3","0 | 3","0 | 2","0 | 1","-","-","-","-","-","-","-","-","-","-"
