"lk.name","lake_code","depth_min","depth_max","Area","Transect","Length","lake_name","lake_latitude","lake_longitude"
"AWUN LAKE",27,2,5,465,3,650,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,2,5,465,4,295,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,1,648,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,2,928,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,3,650,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,4,295,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,1,628,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,2,917,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,3,635,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,4,284,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,10,15,420,1,592,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,10,15,420,2,893,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,10,15,420,3,616,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,10,15,420,4,266,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,15,20,400,1,556,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,15,20,400,2,870,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,15,20,400,3,594,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,15,20,400,4,249,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,20,30,370,1,496,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,20,30,370,2,831,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,20,30,370,3,566,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,20,30,370,4,221,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,30,40,323,1,433,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,30,40,323,2,779,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,30,40,323,3,512,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,30,40,323,4,156,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,40,50,274,1,336,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,40,50,274,2,675,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,40,50,274,3,464,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,40,50,274,4,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,50,60,211,1,240,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,50,60,211,2,575,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,50,60,211,3,429,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,50,60,211,4,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,60,70,136,1,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,60,70,136,2,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,60,70,136,3,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,60,70,136,4,0,"Awun Lake","53 deg 36 min","132 deg 35 min"
NA,46,NA,NA,NA,NA,NA,"Babine Lake","54 deg 45 min","126 deg 00 min"
"Bear Lk",16,2,5,1880,1,538,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,2,5,1880,2,1213,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,2,5,1880,3,495,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,2,5,1880,4,779,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,2,5,1880,5,521,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,2,5,1880,6,305,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,1,538,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,2,1213,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,3,495,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,4,779,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,5,521,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,3,5,1484,6,305,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,5,10,1084,1,454,"Bear Lake","56 deg 08 min","126 deg 49 min"
"Bear Lk",16,5,10,1084,2,1170,"Bear Lake","56 deg 08 min","126 deg 49 min"
