"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_weight_g.sas","duration_mi.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_weight_g.dat","duration_mi.dat","match"
"1995-06-21_3_1_0_2_1_1.37_50","3","1","1995-06-21","1.37","15","3","1","1995-06-21","1.37","15","MATCH"
"1995-06-21_3_3_18_2_1_1.43_52","3","3","1995-06-21","1.43","15","3","3","1995-06-21","1.43","15","MATCH"
"1995-06-21_3_3_18_7_1_0.35_39","3","3","1995-06-21","0.35","15","3","3","1995-06-21","0.35","15","MATCH"
"1995-06-21_3_3_18_7_10_0.6_39","3","3","1995-06-21","0.6","15","3","3","1995-06-21","0.6","15","MATCH"
"1995-06-21_3_3_18_7_11_0.25_32","3","3","1995-06-21","0.25","15","3","3","1995-06-21","0.25","15","MATCH"
"1995-06-21_3_3_18_7_12_0.35_33","3","3","1995-06-21","0.35","15","3","3","1995-06-21","0.35","15","MATCH"
"1995-06-21_3_3_18_7_13_0.46_36","3","3","1995-06-21","0.46","15","3","3","1995-06-21","0.46","15","MATCH"
"1995-06-21_3_3_18_7_14_0.48_38","3","3","1995-06-21","0.48","15","3","3","1995-06-21","0.48","15","MATCH"
"1995-06-21_3_3_18_7_15_0.71_41","3","3","1995-06-21","0.71","15","3","3","1995-06-21","0.71","15","MATCH"
"1995-06-21_3_3_18_7_16_0.44_35","3","3","1995-06-21","0.44","15","3","3","1995-06-21","0.44","15","MATCH"
"1995-06-21_3_3_18_7_17_0.8_41","3","3","1995-06-21","0.8","15","3","3","1995-06-21","0.8","15","MATCH"
"1995-06-21_3_3_18_7_18_0.52_37","3","3","1995-06-21","0.52","15","3","3","1995-06-21","0.52","15","MATCH"
"1995-06-21_3_3_18_7_19_0.43_37","3","3","1995-06-21","0.43","15","3","3","1995-06-21","0.43","15","MATCH"
"1995-06-21_3_3_18_7_2_0.51_37","3","3","1995-06-21","0.51","15","3","3","1995-06-21","0.51","15","MATCH"
