"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_weight_g.sas","duration_mi.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_weight_g.dat","duration_mi.dat","match"
"1988-05-19_107_1_0_2_1_0.89_43","107","1","1988-05-19","0.89","15","107","1","1988-05-19","0.89","15","MATCH"
"1988-05-19_107_1_0_2_10_0.58_38","107","1","1988-05-19","0.58","15","107","1","1988-05-19","0.58","15","MATCH"
"1988-05-19_107_1_0_2_100_0.63_39","107","1","1988-05-19","0.63","15","107","1","1988-05-19","0.63","15","MATCH"
"1988-05-19_107_1_0_2_101_0.59_38","107","1","1988-05-19","0.59","15","107","1","1988-05-19","0.59","15","MATCH"
"1988-05-19_107_1_0_2_102_0.48_35","107","1","1988-05-19","0.48","15","107","1","1988-05-19","0.48","15","MATCH"
"1988-05-19_107_1_0_2_103_0.56_38","107","1","1988-05-19","0.56","15","107","1","1988-05-19","0.56","15","MATCH"
"1988-05-19_107_1_0_2_104_0.32_31","107","1","1988-05-19","0.32","15","107","1","1988-05-19","0.32","15","MATCH"
"1988-05-19_107_1_0_2_105_0.44_35","107","1","1988-05-19","0.44","15","107","1","1988-05-19","0.44","15","MATCH"
"1988-05-19_107_1_0_2_106_0.52_35","107","1","1988-05-19","0.52","15","107","1","1988-05-19","0.52","15","MATCH"
"1988-05-19_107_1_0_2_107_0.43_32","107","1","1988-05-19","0.43","15","107","1","1988-05-19","0.43","15","MATCH"
"1988-05-19_107_1_0_2_108_0.54_36","107","1","1988-05-19","0.54","15","107","1","1988-05-19","0.54","15","MATCH"
"1988-05-19_107_1_0_2_109_0.4_33","107","1","1988-05-19","0.4","15","107","1","1988-05-19","0.4","15","MATCH"
"1988-05-19_107_1_0_2_11_0.65_38","107","1","1988-05-19","0.65","15","107","1","1988-05-19","0.65","15","MATCH"
"1988-05-19_107_1_0_2_110_0.34_32","107","1","1988-05-19","0.34","15","107","1","1988-05-19","0.34","15","MATCH"
"1988-05-19_107_1_0_2_111_0.49_36","107","1","1988-05-19","0.49","15","107","1","1988-05-19","0.49","15","MATCH"
"1988-05-19_107_1_0_2_112_0.48_37","107","1","1988-05-19","0.48","15","107","1","1988-05-19","0.48","15","MATCH"
"1988-05-19_107_1_0_2_113_0.78_42","107","1","1988-05-19","0.78","15","107","1","1988-05-19","0.78","15","MATCH"
"1988-05-19_107_1_0_2_114_0.39_34","107","1","1988-05-19","0.39","15","107","1","1988-05-19","0.39","15","MATCH"
"1988-05-19_107_1_0_2_115_0.49_38","107","1","1988-05-19","0.49","15","107","1","1988-05-19","0.49","15","MATCH"
"1988-05-19_107_1_0_2_116_0.51_39","107","1","1988-05-19","0.51","15","107","1","1988-05-19","0.51","15","MATCH"
"1988-05-19_107_1_0_2_117_0.32_31","107","1","1988-05-19","0.32","15","107","1","1988-05-19","0.32","15","MATCH"
"1988-05-19_107_1_0_2_118_0.86_43","107","1","1988-05-19","0.86","15","107","1","1988-05-19","0.86","15","MATCH"
"1988-05-19_107_1_0_2_119_0.31_31","107","1","1988-05-19","0.31","15","107","1","1988-05-19","0.31","15","MATCH"
