"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_weight_g.sas","duration_mi.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_weight_g.dat","duration_mi.dat","match"
"1984-04-25_6_1_4_1_1_3.12_67","6","1","1984-04-25","3.12","15","6","1","1984-04-25","3.12","15","MATCH"
"1984-04-25_6_1_4_1_2_1.85_58","6","1","1984-04-25","1.85","15","6","1","1984-04-25","1.85","15","MATCH"
"1984-04-25_6_1_4_1_3_2.89_66","6","1","1984-04-25","2.89","15","6","1","1984-04-25","2.89","15","MATCH"
"1984-04-25_6_1_4_1_4_2.15_61","6","1","1984-04-25","2.15","15","6","1","1984-04-25","2.15","15","MATCH"
"1984-04-25_6_1_4_1_5_1.26_51","6","1","1984-04-25","1.26","15","6","1","1984-04-25","1.26","15","MATCH"
"1984-04-25_6_1_4_1_6_0.23_30","6","1","1984-04-25","0.23","15","6","1","1984-04-25","0.23","15","MATCH"
"1984-04-25_6_2_0_1_1_3.99_70","6","2","1984-04-25","3.99","15","6","2","1984-04-25","3.99","15","MATCH"
"1984-04-25_6_2_0_1_2_2.13_60","6","2","1984-04-25","2.13","15","6","2","1984-04-25","2.13","15","MATCH"
"1984-04-25_6_2_0_1_3_0.22_29","6","2","1984-04-25","0.22","15","6","2","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_2_0_1_4_0.15_27","6","2","1984-04-25","0.15","15","6","2","1984-04-25","0.15","15","MATCH"
"1984-04-25_6_3_10_1_1_2_59","6","3","1984-04-25","2","15","6","3","1984-04-25","2","15","MATCH"
"1984-04-25_6_3_10_1_10_0.23_28","6","3","1984-04-25","0.23","15","6","3","1984-04-25","0.23","15","MATCH"
"1984-04-25_6_3_10_1_11_0.19_29","6","3","1984-04-25","0.19","15","6","3","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_3_10_1_12_0.21_28","6","3","1984-04-25","0.21","15","6","3","1984-04-25","0.21","15","MATCH"
"1984-04-25_6_3_10_1_13_0.18_28","6","3","1984-04-25","0.18","15","6","3","1984-04-25","0.18","15","MATCH"
"1984-04-25_6_3_10_1_14_0.19_28","6","3","1984-04-25","0.19","15","6","3","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_3_10_1_15_0.22_30","6","3","1984-04-25","0.22","15","6","3","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_3_10_1_16_0.21_29","6","3","1984-04-25","0.21","15","6","3","1984-04-25","0.21","15","MATCH"
"1984-04-25_6_3_10_1_2_3.21_68","6","3","1984-04-25","3.21","15","6","3","1984-04-25","3.21","15","MATCH"
"1984-04-25_6_3_10_1_3_1.62_56","6","3","1984-04-25","1.62","15","6","3","1984-04-25","1.62","15","MATCH"
"1984-04-25_6_3_10_1_4_2.1_61","6","3","1984-04-25","2.1","15","6","3","1984-04-25","2.1","15","MATCH"
"1984-04-25_6_3_10_1_5_1.94_58","6","3","1984-04-25","1.94","15","6","3","1984-04-25","1.94","15","MATCH"
"1984-04-25_6_3_10_1_6_2.43_62","6","3","1984-04-25","2.43","15","6","3","1984-04-25","2.43","15","MATCH"
"1984-04-25_6_3_10_1_7_1.41_55","6","3","1984-04-25","1.41","15","6","3","1984-04-25","1.41","15","MATCH"
"1984-04-25_6_3_10_1_8_1.55_55","6","3","1984-04-25","1.55","15","6","3","1984-04-25","1.55","15","MATCH"
"1984-04-25_6_3_10_1_9_1.93_57","6","3","1984-04-25","1.93","15","6","3","1984-04-25","1.93","15","MATCH"
"1984-04-25_6_4_13_1_1_13.87_110","6","4","1984-04-25","13.87","15","6","4","1984-04-25","13.87","15","MATCH"
"1984-04-25_6_4_13_1_10_0.19_28","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_4_13_1_11_0.19_27","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_4_13_1_12_0.19_17","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_4_13_1_13_0.2_29","6","4","1984-04-25","0.2","15","6","4","1984-04-25","0.2","15","MATCH"
"1984-04-25_6_4_13_1_14_0.19_29","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_4_13_1_15_0.22_29","6","4","1984-04-25","0.22","15","6","4","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_4_13_1_16_0.21_28","6","4","1984-04-25","0.21","15","6","4","1984-04-25","0.21","15","MATCH"
"1984-04-25_6_4_13_1_17_0.21_29","6","4","1984-04-25","0.21","15","6","4","1984-04-25","0.21","15","MATCH"
"1984-04-25_6_4_13_1_18_0.19_29","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-04-25_6_4_13_1_19_0.22_29","6","4","1984-04-25","0.22","15","6","4","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_4_13_1_2_2.09_60","6","4","1984-04-25","2.09","15","6","4","1984-04-25","2.09","15","MATCH"
"1984-04-25_6_4_13_1_20_0.21_29","6","4","1984-04-25","0.21","15","6","4","1984-04-25","0.21","15","MATCH"
"1984-04-25_6_4_13_1_3_1.86_57","6","4","1984-04-25","1.86","15","6","4","1984-04-25","1.86","15","MATCH"
"1984-04-25_6_4_13_1_4_2.06_60","6","4","1984-04-25","2.06","15","6","4","1984-04-25","2.06","15","MATCH"
"1984-04-25_6_4_13_1_5_0.17_26","6","4","1984-04-25","0.17","15","6","4","1984-04-25","0.17","15","MATCH"
"1984-04-25_6_4_13_1_6_0.22_29","6","4","1984-04-25","0.22","15","6","4","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_4_13_1_7_0.2_30","6","4","1984-04-25","0.2","15","6","4","1984-04-25","0.2","15","MATCH"
"1984-04-25_6_4_13_1_8_0.22_30","6","4","1984-04-25","0.22","15","6","4","1984-04-25","0.22","15","MATCH"
"1984-04-25_6_4_13_1_9_0.19_28","6","4","1984-04-25","0.19","15","6","4","1984-04-25","0.19","15","MATCH"
"1984-05-01_40_1_2_2_1_0.12_24",NA,NA,NA,NA,NA,"40","1","1984-05-01","0.12","15","NOT MATCH"
"1984-05-01_40_1_2_2_1_0.52_38",NA,NA,NA,NA,NA,"40","1","1984-05-01","0.52","15","NOT MATCH"
"1984-05-01_40_1_2_2_1_1.58_60","40","1","1984-05-01","1.58","15","40","1","1984-05-01","1.58","15","MATCH"
