"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_id.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_id.dat","match"
"1992-07-14_8_10_1","8","10","1992-07-14","1","8","10","1992-07-14","1","MATCH"
"1992-07-14_8_10_10","8","10","1992-07-14","10","8","10","1992-07-14","10","MATCH"
"1992-07-14_8_10_11","8","10","1992-07-14","11","8","10","1992-07-14","11","MATCH"
"1992-07-14_8_10_12","8","10","1992-07-14","12","8","10","1992-07-14","12","MATCH"
"1992-07-14_8_10_13","8","10","1992-07-14","13","8","10","1992-07-14","13","MATCH"
"1992-07-14_8_10_14","8","10","1992-07-14","14","8","10","1992-07-14","14","MATCH"
"1992-07-14_8_10_15","8","10","1992-07-14","15","8","10","1992-07-14","15","MATCH"
"1992-07-14_8_10_16","8","10","1992-07-14","16","8","10","1992-07-14","16","MATCH"
"1992-07-14_8_10_17","8","10","1992-07-14","17","8","10","1992-07-14","17","MATCH"
"1992-07-14_8_10_18","8","10","1992-07-14","18","8","10","1992-07-14","18","MATCH"
"1992-07-14_8_10_19","8","10","1992-07-14","19","8","10","1992-07-14","19","MATCH"
"1992-07-14_8_10_2","8","10","1992-07-14","2","8","10","1992-07-14","2","MATCH"
"1992-07-14_8_10_20","8","10","1992-07-14","20","8","10","1992-07-14","20","MATCH"
"1992-07-14_8_10_21","8","10","1992-07-14","21","8","10","1992-07-14","21","MATCH"
"1992-07-14_8_10_22","8","10","1992-07-14","22","8","10","1992-07-14","22","MATCH"
"1992-07-14_8_10_23","8","10","1992-07-14","23","8","10","1992-07-14","23","MATCH"
"1992-07-14_8_10_24","8","10","1992-07-14","24","8","10","1992-07-14","24","MATCH"
"1992-07-14_8_10_25","8","10","1992-07-14","25","8","10","1992-07-14","25","MATCH"
"1992-07-14_8_10_26","8","10","1992-07-14","26","8","10","1992-07-14","26","MATCH"
"1992-07-14_8_10_27","8","10","1992-07-14","27","8","10","1992-07-14","27","MATCH"
