"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_weight_g.sas","duration_mi.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_weight_g.dat","duration_mi.dat","match"
"1996-07-05_3_4_35_2_1_1.23_48","3","4","1996-07-05","1.23","15","3","4","1996-07-05","1.23","15","MATCH"
"1996-07-05_3_4_35_2_10_1.13_47","3","4","1996-07-05","1.13","15","3","4","1996-07-05","1.13","15","MATCH"
"1996-07-05_3_4_35_2_11_1.64_52","3","4","1996-07-05","1.64","15","3","4","1996-07-05","1.64","15","MATCH"
"1996-07-05_3_4_35_2_2_1.02_45","3","4","1996-07-05","1.02","15","3","4","1996-07-05","1.02","15","MATCH"
"1996-07-05_3_4_35_2_3_1.4_51","3","4","1996-07-05","1.4","15","3","4","1996-07-05","1.4","15","MATCH"
"1996-07-05_3_4_35_2_4_1.78_54","3","4","1996-07-05","1.78","15","3","4","1996-07-05","1.78","15","MATCH"
"1996-07-05_3_4_35_2_5_1.65_53","3","4","1996-07-05","1.65","15","3","4","1996-07-05","1.65","15","MATCH"
"1996-07-05_3_4_35_2_6_1.16_46","3","4","1996-07-05","1.16","15","3","4","1996-07-05","1.16","15","MATCH"
"1996-07-05_3_4_35_2_7_1.51_51","3","4","1996-07-05","1.51","15","3","4","1996-07-05","1.51","15","MATCH"
"1996-07-05_3_4_35_2_8_0.93_43","3","4","1996-07-05","0.93","15","3","4","1996-07-05","0.93","15","MATCH"
"1996-07-05_3_4_35_2_9_1.16_49","3","4","1996-07-05","1.16","15","3","4","1996-07-05","1.16","15","MATCH"
"1996-07-05_3_4_35_7_1_1.22_49","3","4","1996-07-05","1.22","15","3","4","1996-07-05","1.22","15","MATCH"
"1996-07-05_3_4_35_7_2_1.1_47","3","4","1996-07-05","1.1","15","3","4","1996-07-05","1.1","15","MATCH"
"1996-07-06_3_11_32_2_1_0.97_48","3","11","1996-07-06","0.97","15","3","11","1996-07-06","0.97","15","MATCH"
"1996-07-06_3_12_32_7_1_2.33_59","3","12","1996-07-06","2.33","15","3","12","1996-07-06","2.33","15","MATCH"
"1996-07-06_3_12_32_7_2_0.94_44","3","12","1996-07-06","0.94","15","3","12","1996-07-06","0.94","15","MATCH"
"1996-07-06_3_12_32_7_3_1.06_43","3","12","1996-07-06","1.06","15","3","12","1996-07-06","1.06","15","MATCH"
"1996-07-06_3_12_32_7_4_1.06_45","3","12","1996-07-06","1.06","15","3","12","1996-07-06","1.06","15","MATCH"
"1996-07-06_3_13_32_7_1_1.13_47","3","13","1996-07-06","1.13","15","3","13","1996-07-06","1.13","15","MATCH"
"1996-07-22_2_1_0_7_1_1.47_53","2","1","1996-07-22","1.47","15","2","1","1996-07-22","1.47","15","MATCH"
"1996-07-22_2_2_11_7_1_10.07_97","2","2","1996-07-22","10.07","15","2","2","1996-07-22","10.07","15","MATCH"
"1996-07-22_2_2_11_7_2_2.06_58","2","2","1996-07-22","2.06","15","2","2","1996-07-22","2.06","15","MATCH"
"1996-07-23_2_3_14_2_1_0.98_48","2","3","1996-07-23","0.98","15","2","3","1996-07-23","0.98","15","MATCH"
"1996-07-23_2_3_14_7_1_1.76_55","2","3","1996-07-23","1.76","15","2","3","1996-07-23","1.76","15","MATCH"
"1996-07-23_2_3_14_7_10_0.57_40","2","3","1996-07-23","0.57","15","2","3","1996-07-23","0.57","15","MATCH"
"1996-07-23_2_3_14_7_11_0.98_47","2","3","1996-07-23","0.98","15","2","3","1996-07-23","0.98","15","MATCH"
"1996-07-23_2_3_14_7_12_1.9_58","2","3","1996-07-23","1.9","15","2","3","1996-07-23","1.9","15","MATCH"
"1996-07-23_2_3_14_7_13_2.73_64","2","3","1996-07-23","2.73","15","2","3","1996-07-23","2.73","15","MATCH"
"1996-07-23_2_3_14_7_14_1.27_51","2","3","1996-07-23","1.27","15","2","3","1996-07-23","1.27","15","MATCH"
"1996-07-23_2_3_14_7_15_1.33_52","2","3","1996-07-23","1.33","15","2","3","1996-07-23","1.33","15","MATCH"
"1996-07-23_2_3_14_7_16_2.55_63","2","3","1996-07-23","2.55","15","2","3","1996-07-23","2.55","15","MATCH"
"1996-07-23_2_3_14_7_17_0.98_46","2","3","1996-07-23","0.98","15","2","3","1996-07-23","0.98","15","MATCH"
"1996-07-23_2_3_14_7_18_2.06_59","2","3","1996-07-23","2.06","15","2","3","1996-07-23","2.06","15","MATCH"
"1996-07-23_2_3_14_7_19_1.85_57","2","3","1996-07-23","1.85","15","2","3","1996-07-23","1.85","15","MATCH"
"1996-07-23_2_3_14_7_2_2.52_62","2","3","1996-07-23","2.52","15","2","3","1996-07-23","2.52","15","MATCH"
