
  27                   : lake code
AWUN                     NIGHT SURVEY                
811007                 : date
FURUNO FM 22         1 : 1 = FURUNO FM 22  /  2 = SIMRAD
10                     : Sounder Gain
                                                  
                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  1.00  0.00
  2-5   2      6  1.00  0.00
  2-5   3      0  1.00  0.00
  2-5   4      5  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
 5-10   1      7  1.00  0.00
 5-10   2      4  1.00  0.00
 5-10   3     10  1.00  0.00
 5-10   4      3  1.00  0.00
10-15   1      6  1.00  0.00
10-15   2      2  1.00  0.00
10-15   3      7  1.00  0.00
10-15   4      1  1.00  0.00
15-20   1     13  1.00  0.00
15-20   2     10  1.00  0.00
15-20   3      3  1.00  0.00
15-20   4      1  1.00  0.00
20-30   1      8  0.75  0.25
20-30   2     16  0.75  0.25
20-30   3     17  0.75  0.25
20-30   4      3  0.75  0.25
30-40   1      8  0.50  0.50
30-40   2     15  0.50  0.50
30-40   3     17  0.50  0.50
30-40   4      4  0.50  0.50
40-50   1     12  0.50  0.50
40-50   2     10  0.50  0.50
40-50   3     12  0.50  0.50
40-50   4      0  0.00  0.00
50-60   1      4  0.50  0.50
50-60   2     18  0.50  0.50
50-60   3     28  0.50  0.50
50-60   4      0  0.00  0.00
60-70   1      0  0.00  0.00
60-70   2      0  0.00  0.00
60-70   3      0  0.00  0.00
60-70   4      0  0.00  0.00

  31                   : lake code
BONILLA                  1981 NIGHT SURVEY            
810819                 : date
FURUNO FM 22         1 : 1 = FURUNO FM 22  /  2 = SIMRAD
10                     : Sounder Gain
                                                  
                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1     69  0.00  1.00
  2-5   2    279  0.00  1.00
  2-5   3    136  0.00  1.00
  2-5   4     62  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
 5-10   1     24  0.00  1.00
