

 107                   : lake code
Cheewhat Lk         Counted Aug.5/93 SM
930713                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
ovcst, ripple, 0 precip, 0moon, at 15.0 wt 20.0
gain 10, Dynaline on log 40                                                                                   

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.99  0.01
  2-5   2      1  0.99  0.01
  2-5   3      1  0.99  0.01
  2-5   4      0  0.99  0.01
  2-5   5      6  0.99  0.01
  2-5   6      0  0.99  0.01
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     84  0.99  0.01
 5-10   2     54  0.99  0.01
 5-10   3     38  0.99  0.01
 5-10   4     72  0.99  0.01
 5-10   5    152  0.99  0.01
 5-10   6     16  0.99  0.01
10-15   1      1  0.99  0.01
10-15   2      5  0.99  0.01
10-15   3      7  0.99  0.01
10-15   4      9  0.99  0.01
10-15   5     18  0.99  0.01
10-15   6      0  0.00  0.00
15-20   1      0  0.00  0.00
15-20   2      0  0.00  0.00
15-20   3     31  0.99  0.01
15-20   4     16  0.99  0.01
15-20   5     47  0.99  0.01
15-20   6      0  0.00  0.00


 107                   : lake code
Cheewhat Lk         Processed by AR Mar.25/94
940218                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
Cloudy,Calm,MNup,ST6.0,AT4.0
EY-M#20111                                                                                                    

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  0.42  0.58
  2-5   2      1  0.42  0.58
  2-5   3      1  0.42  0.58
  2-5   4      0  0.42  0.58
  2-5   5      0  0.42  0.58
  2-5   6      1  0.42  0.58
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     33  0.42  0.58
 5-10   2     22  0.42  0.58
 5-10   3     18  0.42  0.58
 5-10   4      9  0.42  0.58
 5-10   5      2  0.42  0.58
 5-10   6     68  0.42  0.58
10-15   1     24  0.42  0.58
10-15   2     64  0.42  0.58
10-15   3     76  0.42  0.58
10-15   4     53  0.42  0.58
10-15   5      0  0.00  0.00
10-15   6    201  0.42  0.58
15-20   1      0  0.00  0.00
15-20   2      0  0.42  0.58
15-20   3     80  0.42  0.58
15-20   4     29  0.42  0.58
15-20   5      0  0.00  0.00
15-20   6     99  0.42  0.58


  25                   : lake code
Eden Lk             Counted Sept.16/93 SM
930820                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
ovcst,rn-fog,str.NW wind,20cm chop,at12.0wt19.0
EY-M 20111, gain 10 log 40 dynaline ON.                                                                       

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  0.00  1.00
  2-5   2      2  0.00  1.00
  2-5   3      9  0.00  1.00
  2-5   4      0  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
 5-10   1     43  1.00  0.00
 5-10   2     12  1.00  0.00
 5-10   3     96  1.00  0.00
 5-10   4     60  1.00  0.00
10-15   1    138  1.00  0.00
10-15   2    154  1.00  0.00
10-15   3    198  1.00  0.00
10-15   4     66  1.00  0.00
15-20   1      9  1.00  0.00
15-20   2      8  1.00  0.00
15-20   3      7  1.00  0.00
15-20   4      1  1.00  0.00
20-30   1      3  1.00  0.00
20-30   2      0  1.00  0.00
20-30   3      1  1.00  0.00
20-30   4      0  1.00  0.00
30-40   1      0  1.00  0.00
30-40   2      0  1.00  0.00
30-40   3      0  1.00  0.00
30-40   4      0  1.00  0.00
40-50   1      0  1.00  0.00
40-50   2      0  1.00  0.00
40-50   3      0  1.00  0.00
40-50   4      0  1.00  0.00
50-60   1      0  1.00  0.00
50-60   2      0  1.00  0.00
50-60   3      0  1.00  0.00
50-60   4      0  1.00  0.00
60-70   1      0  0.00  0.00
60-70   2      0  0.00  0.00
60-70   3      0  0.00  0.00
60-70   4      0  0.00  0.00


   1                   : lake code
GCL                 processed by PR, 01Sep93.
930728                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
8090%cld,lghtwnd,3/4mn,AT16WT19.5degC.
EYM#10005,RDAT#83289                                                                                          

depth / transect / targets / %sockeye / %stickleback

  2-5   1     16  1.00  0.00
  2-5   2     11  1.00  0.00
  2-5   3      1  1.00  0.00
  2-5   4      1  1.00  0.00
  2-5   5      0  1.00  0.00
  2-5   6      2  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1    210  1.00  0.00
 5-10   2    370  1.00  0.00
 5-10   3    159  1.00  0.00
 5-10   4     89  1.00  0.00
 5-10   5      8  1.00  0.00
 5-10   6      0  1.00  0.00
10-15   1    179  1.00  0.00
10-15   2    326  1.00  0.00
10-15   3    511  1.00  0.00
10-15   4    244  1.00  0.00
10-15   5    194  1.00  0.00
10-15   6     54  1.00  0.00
15-20   1     41  1.00  0.00
15-20   2     99  1.00  0.00
15-20   3    133  1.00  0.00
15-20   4     64  1.00  0.00
15-20   5    233  1.00  0.00
15-20   6     94  1.00  0.00
20-30   1     23  1.00  0.00
20-30   2     37  1.00  0.00
20-30   3     38  1.00  0.00
20-30   4     25  1.00  0.00
20-30   5     37  1.00  0.00
20-30   6     12  1.00  0.00
30-40   1      4  1.00  0.00
30-40   2     12  1.00  0.00
30-40   3      3  1.00  0.00
30-40   4      1  1.00  0.00
30-40   5      0  1.00  0.00
30-40   6      0  1.00  0.00
40-50   1      0  1.00  0.00
40-50   2      0  1.00  0.00
40-50   3      0  1.00  0.00
40-50   4      0  1.00  0.00
40-50   5      0  1.00  0.00
40-50   6      0  1.00  0.00
50-60   1      0  1.00  0.00
50-60   2      0  1.00  0.00
50-60   3      0  1.00  0.00
50-60   4      0  1.00  0.00
50-60   5      0  1.00  0.00
50-60   6      0  1.00  0.00
60-70   1      0  1.00  0.00
60-70   2      0  1.00  0.00
60-70   3      0  1.00  0.00
60-70   4      0  1.00  0.00
60-70   5      0  1.00  0.00
60-70   6      0  1.00  0.00
70-80   1      0  1.00  0.00
70-80   2      0  1.00  0.00
70-80   3      0  1.00  0.00
70-80   4      0  1.00  0.00
70-80   5      0  1.00  0.00
