

  27                   : lake code
Awun Lk             EY-M#20111,DAT# A61400
940902                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
C.C.0%,winds-light,AT11.0,H2O 17.4
Processed by S.T.091694                                                                                       

depth / transect / targets / %sockeye / %stickleback

  2-5   1     26  0.00  1.00
  2-5   2     39  0.00  1.00
  2-5   3      1  0.00  1.00
  2-5   4      3  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
 5-10   1    123  0.36  0.64
 5-10   2    160  0.36  0.64
 5-10   3      8  0.36  0.64
 5-10   4     23  0.36  0.64
10-15   1     49  1.00  0.00
10-15   2    116  1.00  0.00
10-15   3     94  1.00  0.00
10-15   4     14  1.00  0.00
15-20   1      3  1.00  0.00
15-20   2      6  1.00  0.00
15-20   3     22  1.00  0.00
15-20   4      3  1.00  0.00
20-30   1      3  1.00  0.00
20-30   2      1  1.00  0.00
20-30   3      5  1.00  0.00
20-30   4      1  1.00  0.00
30-40   1      1  1.00  0.00
30-40   2      2  1.00  0.00
30-40   3      0  1.00  0.00
30-40   4      3  1.00  0.00
40-50   1      0  1.00  0.00
40-50   2      1  1.00  0.00
40-50   3      3  1.00  0.00
40-50   4      0  1.00  0.00
50-60   1      0  1.00  0.00
50-60   2      0  1.00  0.00
50-60   3      1  1.00  0.00
50-60   4      0  0.00  0.00
60-70   1      0  1.00  0.00
60-70   2      0  1.00  0.00
60-70   3      0  1.00  0.00
60-70   4      0  1.00  0.00


 107                   : lake code
Cheewhat Lk         Processed by S.T. July 7/94
940624                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
100%cc,wind-calm,no rain,AT16.2, ST18.5 degC
Moon-up, sky bright but full overcast.EY-M#20111, Steve Toth 7Jul94.                                          

depth / transect / targets / %sockeye / %stickleback

  2-5   1      0  1.00  1.00
  2-5   2      0  1.00  1.00
  2-5   3      0  1.00  1.00
  2-5   4      1  1.00  1.00
  2-5   5      0  1.00  1.00
  2-5   6      0  1.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     16  1.00  0.00
 5-10   2     15  1.00  0.00
 5-10   3     36  1.00  0.00
 5-10   4    144  1.00  0.00
 5-10   5    129  1.00  0.00
 5-10   6    114  1.00  0.00
10-15   1      1  1.00  0.00
10-15   2      1  1.00  0.00
10-15   3     23  1.00  0.00
10-15   4     51  1.00  0.00
10-15   5     26  1.00  0.00
10-15   6     69  1.00  0.00
15-20   1      0  1.00  0.00
15-20   2      0  1.00  0.00
15-20   3      2  1.00  0.00
15-20   4      5  1.00  0.00
15-20   5      0  1.00  0.00
15-20   6     25  1.00  0.00


 107                   : lake code
Cheewhat Lk         processed by PR, 08Aug94.
940625                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain

Processed by PR, 08Aug94.                                                                                     

depth / transect / targets / %sockeye / %stickleback

  2-5   1      0  0.00  1.00
  2-5   2      0  0.00  1.00
  2-5   3      0  0.00  1.00
  2-5   4      0  0.00  1.00
  2-5   5      1  0.00  1.00
  2-5   6      0  0.00  1.00
