

   1                   : lake code
Great Central Lk    Rankin-Hanslit Survey
970724                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
CC:95%, Wind:Ligh,Rain:Nil,AT:22.5,ST:21.0
24Jul97/14Jan98/BH/EYM/10005/1/0/0/4/523/2                                                                    

depth / transect / targets / %sockeye / %stickleback

  2-5   1     37  1.00  0.00
  2-5   2     37  1.00  0.00
  2-5   3     34  1.00  0.00
  2-5   4     52  1.00  0.00
  2-5   5     17  1.00  0.00
  2-5   6     14  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1    223  1.00  0.00
 5-10   2    546  1.00  0.00
 5-10   3    776  1.00  0.00
 5-10   4    682  1.00  0.00
 5-10   5    773  1.00  0.00
 5-10   6    260  1.00  0.00
10-15   1    114  0.99  0.01
10-15   2    861  0.99  0.01
10-15   3    421  0.99  0.01
10-15   4    186  0.99  0.01
10-15   5    911  0.99  0.01
10-15   6    304  0.99  0.01
15-20   1      5  0.99  0.01
15-20   2     53  0.99  0.01
15-20   3     25  0.99  0.01
15-20   4     16  0.99  0.01
15-20   5     62  0.99  0.01
15-20   6     39  0.99  0.01
20-30   1      7  0.99  0.01
20-30   2      7  0.99  0.01
20-30   3      9  0.99  0.01
20-30   4      8  0.99  0.01
20-30   5     20  0.99  0.01
20-30   6      7  0.99  0.01
30-40   1      0  0.99  0.01
30-40   2      0  0.99  0.01
30-40   3      3  0.99  0.01
30-40   4      2  0.99  0.01
30-40   5      2  0.99  0.01
30-40   6      2  0.99  0.01
40-50   1      0  0.99  0.01
40-50   2      0  0.99  0.01
40-50   3      0  0.99  0.01
40-50   4      0  0.99  0.01
40-50   5      0  0.99  0.01
40-50   6      0  0.99  0.01
50-60   1      0  0.99  0.01
50-60   2      0  0.99  0.01
50-60   3      0  0.99  0.01
50-60   4      0  0.99  0.01
50-60   5      0  0.99  0.01
50-60   6      0  0.99  0.01
60-70   1      0  0.99  0.01
60-70   2      0  0.99  0.01
60-70   3      0  0.99  0.01
60-70   4      0  0.99  0.01
60-70   5      0  0.99  0.01
60-70   6      0  0.99  0.01
70-80   1      0  0.99  0.01
70-80   2      0  0.99  0.01
70-80   3      0  0.99  0.01
70-80   4      0  0.99  0.01
70-80   5      0  0.99  0.01
70-80   6      0  0.99  0.01
80-90   1      0  0.99  0.01
80-90   2      0  0.99  0.01
80-90   3      0  0.99  0.01
80-90   4      0  0.99  0.01
80-90   5      0  0.99  0.01
80-90   6      0  0.99  0.01
90-100  1      0  0.99  0.01
90-100  2      0  0.99  0.01
90-100  3      0  0.99  0.01
90-100  4      0  0.99  0.01
90-100  5      0  0.99  0.01
90-100  6      0  0.99  0.01


   1                   : lake code
Great Central Lk    Rankin - Hanslit Survey
971120                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
CC:70%,Rain:No,Wind:Nil/AT:6.0-7.8/ST:9.0-9.4
20Nov97/13Jan98/BH/EYM/20069/1/0/0/7/236/1                                                                    

depth / transect / targets / %sockeye / %stickleback

  2-5   1     12  1.00  0.00
  2-5   2      9  1.00  0.00
  2-5   3      9  1.00  0.00
  2-5   4      1  1.00  0.00
  2-5   5     38  1.00  0.00
  2-5   6     94  1.00  0.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     71  1.00  0.00
 5-10   2     44  1.00  0.00
 5-10   3     87  1.00  0.00
 5-10   4     58  1.00  0.00
 5-10   5    263  1.00  0.00
 5-10   6    465  1.00  0.00
10-15   1    269  1.00  0.00
10-15   2    199  1.00  0.00
10-15   3    338  1.00  0.00
10-15   4    208  1.00  0.00
10-15   5    635  1.00  0.00
10-15   6    536  1.00  0.00
15-20   1    504  0.99  0.01
15-20   2    389  0.99  0.01
15-20   3    608  0.99  0.01
15-20   4    591  0.99  0.01
15-20   5    905  0.99  0.01
15-20   6    640  0.99  0.01
20-30   1    566  1.00  0.00
20-30   2    445  1.00  0.00
20-30   3    290  1.00  0.00
20-30   4    753  1.00  0.00
20-30   5    604  1.00  0.00
20-30   6    459  1.00  0.00
30-40   1     80  1.00  0.00
30-40   2    237  1.00  0.00
30-40   3     62  1.00  0.00
30-40   4    118  1.00  0.00
30-40   5    191  1.00  0.00
30-40   6    667  1.00  0.00
40-50   1     16  1.00  0.00
40-50   2     49  1.00  0.00
40-50   3     30  1.00  0.00
40-50   4     32  1.00  0.00
40-50   5     93  1.00  0.00
