

 107                   : lake code
Cheewhat Lk         processed by RT on 21Aug90.
900602                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
ovrcst,wndy,hvy rn,AT16,ST17degC.
                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      7  0.87  0.13
  2-5   2      5  0.87  0.13
  2-5   3      4  0.87  0.13
  2-5   4      3  0.87  0.13
  2-5   5      1  0.87  0.13
  2-5   6      9  0.87  0.13
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     57  0.87  0.13
 5-10   2     84  0.87  0.13
 5-10   3     70  0.87  0.13
 5-10   4     86  0.87  0.13
 5-10   5     98  0.87  0.13
 5-10   6    193  0.87  0.13
10-15   1     23  0.87  0.13
10-15   2     51  0.87  0.13
10-15   3     27  0.87  0.13
10-15   4     29  0.87  0.13
10-15   5     83  0.87  0.13
10-15   6      0  1.00  0.00
15-20   1      0  0.00  0.00
15-20   2      7  0.87  0.13
15-20   3     36  0.87  0.13
15-20   4     11  0.87  0.13
15-20   5      4  0.87  0.13
15-20   6     73  0.87  0.13


 107                   : lake code
Cheewhat Lk         processed by RT on 20Aug90.
900619                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
ovrcst,calm,AT17.5,ST18degC.
Sx 83% 0+, 17% 1+.                                                                                            

depth / transect / targets / %sockeye / %stickleback

  2-5   1      1  0.94  0.06
  2-5   2      0  1.00  0.00
  2-5   3      5  0.94  0.06
  2-5   4      3  0.94  0.06
  2-5   5      0  1.00  0.00
  2-5   6      7  0.94  0.06
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1    156  0.94  0.06
 5-10   2     69  0.94  0.06
 5-10   3     61  0.94  0.06
 5-10   4     40  0.94  0.06
 5-10   5     86  0.94  0.06
 5-10   6    206  0.94  0.06
10-15   1      0  1.00  0.00
10-15   2     36  0.94  0.06
10-15   3      2  0.94  0.06
10-15   4     15  0.94  0.06
10-15   5      1  0.94  0.06
10-15   6     51  0.94  0.06
15-20   1      3  0.94  0.06
15-20   2     20  0.94  0.06
15-20   3     25  0.94  0.06
15-20   4     35  0.94  0.06
15-20   5      0  1.00  0.00
15-20   6     56  0.94  0.06


 107                   : lake code
Cheewhat Lk         processed by RT on 20Aug90.
900625                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
clr,brze,nwmn,AT12ST18degC.
poor echogram! Sx 52% 0+, 48% 1+                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.96  0.04
  2-5   2      2  0.96  0.04
  2-5   3      0  1.00  0.00
  2-5   4      0  1.00  0.00
  2-5   5      0  1.00  0.00
  2-5   6      3  0.96  0.04
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     99  0.96  0.04
 5-10   2     48  0.96  0.04
 5-10   3     75  0.96  0.04
 5-10   4     71  0.96  0.04
 5-10   5    105  0.96  0.04
 5-10   6    171  0.96  0.04
10-15   1      3  0.96  0.04
10-15   2     10  0.96  0.04
10-15   3     23  0.96  0.04
10-15   4     17  0.96  0.04
10-15   5      0  1.00  0.00
10-15   6     26  0.96  0.04
15-20   1      0  1.00  0.00
15-20   2      0  1.00  0.00
15-20   3     15  0.96  0.04
15-20   4     26  0.96  0.04
15-20   5      0  1.00  0.00
15-20   6     60  0.96  0.04


 107                   : lake code
Cheewhat Lk         processed by pr, 10Aug90.
900723                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
overcast,gusty,light rain,AT 18 ST 23 deg C.
                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.00  1.00
  2-5   2      6  0.00  1.00
  2-5   3      8  0.00  1.00
  2-5   4      0  0.00  1.00
  2-5   5      1  0.00  1.00
  2-5   6      8  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     58  0.94  0.06
 5-10   2     50  0.94  0.06
 5-10   3     52  0.94  0.06
 5-10   4     95  0.94  0.06
 5-10   5     44  0.94  0.06
 5-10   6     91  0.94  0.06
10-15   1     19  0.94  0.06
10-15   2     20  0.94  0.06
10-15   3     28  0.94  0.06
10-15   4     63  0.94  0.06
10-15   5      0  0.00  0.00
10-15   6     42  0.94  0.06
15-20   1      0  0.00  0.00
15-20   2      0  0.00  0.00
15-20   3     24  0.94  0.06
15-20   4     11  0.94  0.06
15-20   5      0  0.00  0.00
15-20   6     16  0.94  0.06


 107                   : lake code
Cheewhat Lk         processed by pr, 10Aug90.
900807                 : date
