"lk.name","lk.code","depth_min","depth_max","Area","Transect","Length"
"Bear Lk",16,10,15,723,3,232
"Bear Lk",16,10,15,723,4,624
"Bear Lk",16,10,15,723,5,509
"Bear Lk",16,10,15,723,6,284
"Bear Lk",16,15,20,540,1,213
"Bear Lk",16,15,20,540,2,248
"Bear Lk",16,15,20,540,3,153
"Bear Lk",16,15,20,540,4,412
"Bear Lk",16,15,20,540,5,484
"Bear Lk",16,15,20,540,6,263
"Bear Lk",16,20,30,363,1,73
"Bear Lk",16,20,30,363,2,0
"Bear Lk",16,20,30,363,3,43
"Bear Lk",16,20,30,363,4,92
"Bear Lk",16,20,30,363,5,453
"Bear Lk",16,20,30,363,6,200
"Bear Lk",16,30,40,168,1,0
"Bear Lk",16,30,40,168,2,0
"Bear Lk",16,30,40,168,3,0
"Bear Lk",16,30,40,168,4,0
"Bear Lk",16,30,40,168,5,391
"Bear Lk",16,30,40,168,6,200
"Bear Lk",16,40,50,70,1,0
"Bear Lk",16,40,50,70,2,0
"Bear Lk",16,40,50,70,3,0
"Bear Lk",16,40,50,70,4,0
"Bear Lk",16,40,50,70,5,273
"Bear Lk",16,40,50,70,6,114
"Bear Lk",16,50,60,50,1,0
"Bear Lk",16,50,60,50,2,0
"Bear Lk",16,50,60,50,3,0
"Bear Lk",16,50,60,50,4,0
"Bear Lk",16,50,60,50,5,143
"Bear Lk",16,50,60,50,6,51
"Bonney Lk",220,2,5,340,1,300
"Bonney Lk",220,2,5,340,2,409
"Bonney Lk",220,2,5,340,3,440
"Bonney Lk",220,2,5,340,4,610
"Bonney Lk",220,2,5,340,5,410
"Bonney Lk",220,2,5,340,6,794
"Bonney Lk",220,2,5,340,7,758
"Bonney Lk",220,2,5,340,8,859
"Bonney Lk",220,2,5,340,9,763
"Bonney Lk",220,3,5,0,1,0
"Bonney Lk",220,3,5,0,2,0
"Bonney Lk",220,3,5,0,3,0
"Bonney Lk",220,3,5,0,4,0
"Bonney Lk",220,3,5,0,5,0
"Bonney Lk",220,3,5,0,6,0
"Bonney Lk",220,3,5,0,7,0
"Bonney Lk",220,3,5,0,8,0
"Bonney Lk",220,3,5,0,9,0
"Bonney Lk",220,5,10,282,1,255
"Bonney Lk",220,5,10,282,2,378
"Bonney Lk",220,5,10,282,3,420
"Bonney Lk",220,5,10,282,4,518
"Bonney Lk",220,5,10,282,5,290
"Bonney Lk",220,5,10,282,6,760
"Bonney Lk",220,5,10,282,7,741
"Bonney Lk",220,5,10,282,8,807
"Bonney Lk",220,5,10,282,9,734
"Bonney Lk",220,10,15,217,1,217
"Bonney Lk",220,10,15,217,2,335
"Bonney Lk",220,10,15,217,3,370
"Bonney Lk",220,10,15,217,4,424
"Bonney Lk",220,10,15,217,5,147
"Bonney Lk",220,10,15,217,6,703
"Bonney Lk",220,10,15,217,7,696
"Bonney Lk",220,10,15,217,8,738
"Bonney Lk",220,10,15,217,9,715
"Bonney Lk",220,15,20,173,1,183
"Bonney Lk",220,15,20,173,2,299
"Bonney Lk",220,15,20,173,3,345
"Bonney Lk",220,15,20,173,4,360
"Bonney Lk",220,15,20,173,5,30
"Bonney Lk",220,15,20,173,6,632
"Bonney Lk",220,15,20,173,7,659
"Bonney Lk",220,15,20,173,8,692
"Bonney Lk",220,15,20,173,9,643
"Bonney Lk",220,20,30,129,1,132
"Bonney Lk",220,20,30,129,2,233
"Bonney Lk",220,20,30,129,3,106
"Bonney Lk",220,20,30,129,4,286
"Bonney Lk",220,20,30,129,5,0
"Bonney Lk",220,20,30,129,6,423
"Bonney Lk",220,20,30,129,7,606
"Bonney Lk",220,20,30,129,8,639
"Bonney Lk",220,20,30,129,9,538
"Bonney Lk",220,30,40,88,1,58
"Bonney Lk",220,30,40,88,2,96
"Bonney Lk",220,30,40,88,3,14
"Bonney Lk",220,30,40,88,4,117
"Bonney Lk",220,30,40,88,5,0
"Bonney Lk",220,30,40,88,6,165
"Bonney Lk",220,30,40,88,7,542
"Bonney Lk",220,30,40,88,8,506
"Bonney Lk",220,30,40,88,9,418
"Bonney Lk",220,40,50,60,1,0
"Bonney Lk",220,40,50,60,2,0
"Bonney Lk",220,40,50,60,3,0
"Bonney Lk",220,40,50,60,4,0
"Bonney Lk",220,40,50,60,5,0
"Bonney Lk",220,40,50,60,6,16
"Bonney Lk",220,40,50,60,7,423
"Bonney Lk",220,40,50,60,8,446
"Bonney Lk",220,40,50,60,9,344
"Bonney Lk",220,50,60,40,1,0
"Bonney Lk",220,50,60,40,2,0
"Bonney Lk",220,50,60,40,3,0
"Bonney Lk",220,50,60,40,4,0
"Bonney Lk",220,50,60,40,5,0
"Bonney Lk",220,50,60,40,6,0
"Bonney Lk",220,50,60,40,7,344
"Bonney Lk",220,50,60,40,8,350
"Bonney Lk",220,50,60,40,9,233
"Bowser Lk",35,2,5,3206,1,1499
"Bowser Lk",35,2,5,3206,2,1248
"Bowser Lk",35,2,5,3206,3,1802
"Bowser Lk",35,2,5,3206,4,1115
"Bowser Lk",35,2,5,3206,5,1645
"Bowser Lk",35,2,5,3206,6,1201
"Bowser Lk",35,3,5,3081,1,1499
"Bowser Lk",35,3,5,3081,2,1248
"Bowser Lk",35,3,5,3081,3,1802
"Bowser Lk",35,3,5,3081,4,1115
"Bowser Lk",35,3,5,3081,5,1627
"Bowser Lk",35,3,5,3081,6,1065
"Bowser Lk",35,5,10,2763,1,1472
"Bowser Lk",35,5,10,2763,2,1208
"Bowser Lk",35,5,10,2763,3,1802
"Bowser Lk",35,5,10,2763,4,1100
"Bowser Lk",35,5,10,2763,5,1522
"Bowser Lk",35,5,10,2763,6,868
"Bowser Lk",35,10,15,2617,1,1445
"Bowser Lk",35,10,15,2617,2,1171
"Bowser Lk",35,10,15,2617,3,1748
"Bowser Lk",35,10,15,2617,4,1062
"Bowser Lk",35,10,15,2617,5,1445
"Bowser Lk",35,10,15,2617,6,830
"Bowser Lk",35,15,20,2470,1,1417
"Bowser Lk",35,15,20,2470,2,1149
"Bowser Lk",35,15,20,2470,3,1711
"Bowser Lk",35,15,20,2470,4,1031
"Bowser Lk",35,15,20,2470,5,1390
"Bowser Lk",35,15,20,2470,6,788
"Bowser Lk",35,20,30,2288,1,1381
"Bowser Lk",35,20,30,2288,2,1104
"Bowser Lk",35,20,30,2288,3,1690
"Bowser Lk",35,20,30,2288,4,993
"Bowser Lk",35,20,30,2288,5,969
"Bowser Lk",35,20,30,2288,6,690
"Bowser Lk",35,30,40,2044,1,1344
"Bowser Lk",35,30,40,2044,2,1093
"Bowser Lk",35,30,40,2044,3,1649
"Bowser Lk",35,30,40,2044,4,952
"Bowser Lk",35,30,40,2044,5,765
"Bowser Lk",35,30,40,2044,6,0
"Bowser Lk",35,40,50,1893,1,1292
"Bowser Lk",35,40,50,1893,2,1055
"Bowser Lk",35,40,50,1893,3,1623
"Bowser Lk",35,40,50,1893,4,921
"Bowser Lk",35,40,50,1893,5,716
"Bowser Lk",35,40,50,1893,6,0
"Bowser Lk",35,50,60,1690,1,1249
"Bowser Lk",35,50,60,1690,2,1008
"Bowser Lk",35,50,60,1690,3,1593
"Bowser Lk",35,50,60,1690,4,861
"Bowser Lk",35,50,60,1690,5,454
"Bowser Lk",35,50,60,1690,6,0
"Brannen Lk",161,2,5,89,1,832
"Brannen Lk",161,2,5,89,2,843
"Brannen Lk",161,2,5,89,3,686
"Brannen Lk",161,2,5,89,4,1135
"Brannen Lk",161,2,5,89,5,1290
"Brannen Lk",161,2,5,89,6,1156
"Brannen Lk",161,3,5,89,1,832
"Brannen Lk",161,3,5,89,2,843
"Brannen Lk",161,3,5,89,3,686
"Brannen Lk",161,3,5,89,4,1135
"Brannen Lk",161,3,5,89,5,1290
"Brannen Lk",161,3,5,89,6,1156
"Brannen Lk",161,5,10,64,1,695
"Brannen Lk",161,5,10,64,2,684
"Brannen Lk",161,5,10,64,3,385
"Brannen Lk",161,5,10,64,4,964
"Brannen Lk",161,5,10,64,5,1173
"Brannen Lk",161,5,10,64,6,1034
"Brannen Lk",161,10,15,45,1,551
"Brannen Lk",161,10,15,45,2,553
"Brannen Lk",161,10,15,45,3,190
"Brannen Lk",161,10,15,45,4,538
"Brannen Lk",161,10,15,45,5,990
"Brannen Lk",161,10,15,45,6,660
"Brannen Lk",161,15,20,19,1,0
"Brannen Lk",161,15,20,19,2,309
"Brannen Lk",161,15,20,19,3,0
"Brannen Lk",161,15,20,19,4,0
"Brannen Lk",161,15,20,19,5,0
"Brannen Lk",161,15,20,19,6,267
"CHEEWHAT",107,2,5,140,1,721
"CHEEWHAT",107,2,5,140,2,843
"CHEEWHAT",107,2,5,140,3,811
"CHEEWHAT",107,2,5,140,4,743
"CHEEWHAT",107,2,5,140,5,478
"CHEEWHAT",107,2,5,140,6,1391
"CHEEWHAT",107,3,5,140,1,721
"CHEEWHAT",107,3,5,140,2,843
"CHEEWHAT",107,3,5,140,3,811
"CHEEWHAT",107,3,5,140,4,743
"CHEEWHAT",107,3,5,140,5,478
"CHEEWHAT",107,3,5,140,6,1391
"CHEEWHAT",107,5,10,86,1,485
"CHEEWHAT",107,5,10,86,2,455
"CHEEWHAT",107,5,10,86,3,630
"CHEEWHAT",107,5,10,86,4,614
"CHEEWHAT",107,5,10,86,5,372
"CHEEWHAT",107,5,10,86,6,1114
"CHEEWHAT",107,10,15,33,1,0
"CHEEWHAT",107,10,15,33,2,301
"CHEEWHAT",107,10,15,33,3,464
"CHEEWHAT",107,10,15,33,4,517
"CHEEWHAT",107,10,15,33,5,239
"CHEEWHAT",107,10,15,33,6,368
"CHEEWHAT",107,15,20,14,1,0
"CHEEWHAT",107,15,20,14,2,0
"CHEEWHAT",107,15,20,14,3,315
"CHEEWHAT",107,15,20,14,4,348
"CHEEWHAT",107,15,20,14,5,0
"CHEEWHAT",107,15,20,14,6,150
"CURTIS LAKE",28,2,5,247,1,679
"CURTIS LAKE",28,2,5,247,2,1012
"CURTIS LAKE",28,2,5,247,3,646
"CURTIS LAKE",28,2,5,247,4,698
"CURTIS LAKE",28,3,5,247,1,679
"CURTIS LAKE",28,3,5,247,2,1012
"CURTIS LAKE",28,3,5,247,3,646
"CURTIS LAKE",28,3,5,247,4,698
"CURTIS LAKE",28,5,10,216,1,656
"CURTIS LAKE",28,5,10,216,2,1004
"CURTIS LAKE",28,5,10,216,3,631
"CURTIS LAKE",28,5,10,216,4,564
"CURTIS LAKE",28,10,15,198,1,621
"CURTIS LAKE",28,10,15,198,2,965
"CURTIS LAKE",28,10,15,198,3,617
"CURTIS LAKE",28,10,15,198,4,504
"CURTIS LAKE",28,15,20,186,1,586
"CURTIS LAKE",28,15,20,186,2,960
"CURTIS LAKE",28,15,20,186,3,603
"CURTIS LAKE",28,15,20,186,4,455
"CURTIS LAKE",28,20,30,164,1,556
"CURTIS LAKE",28,20,30,164,2,743
"CURTIS LAKE",28,20,30,164,3,577
"CURTIS LAKE",28,20,30,164,4,231
"CURTIS LAKE",28,30,40,129,1,452
"CURTIS LAKE",28,30,40,129,2,645
"CURTIS LAKE",28,30,40,129,3,337
"CURTIS LAKE",28,30,40,129,4,134
"CURTIS LAKE",28,40,50,93,1,389
"CURTIS LAKE",28,40,50,93,2,588
"CURTIS LAKE",28,40,50,93,3,123
"CURTIS LAKE",28,40,50,93,4,0
"CURTIS LAKE",28,50,60,63,1,305
"CURTIS LAKE",28,50,60,63,2,510
"CURTIS LAKE",28,50,60,63,3,0
"CURTIS LAKE",28,50,60,63,4,0
"CURTIS LAKE",28,60,70,40,1,182
"CURTIS LAKE",28,60,70,40,2,421
"CURTIS LAKE",28,60,70,40,3,0
"CURTIS LAKE",28,60,70,40,4,0
"Christina Lk",47,2,5,128,1,590
"Christina Lk",47,2,5,128,2,627
"Christina Lk",47,2,5,128,3,804
"Christina Lk",47,2,5,128,4,422
"Christina Lk",47,2,5,128,5,467
"Christina Lk",47,3,5,128,1,590
"Christina Lk",47,3,5,128,2,627
"Christina Lk",47,3,5,128,3,804
"Christina Lk",47,3,5,128,4,422
"Christina Lk",47,3,5,128,5,467
"Christina Lk",47,5,10,108,1,566
"Christina Lk",47,5,10,108,2,563
"Christina Lk",47,5,10,108,3,788
"Christina Lk",47,5,10,108,4,388
"Christina Lk",47,5,10,108,5,421
"Christina Lk",47,10,15,96,1,540
"Christina Lk",47,10,15,96,2,537
"Christina Lk",47,10,15,96,3,761
"Christina Lk",47,10,15,96,4,359
"Christina Lk",47,10,15,96,5,257
"Christina Lk",47,15,20,84,1,514
"Christina Lk",47,15,20,84,2,511
"Christina Lk",47,15,20,84,3,704
"Christina Lk",47,15,20,84,4,300
"Christina Lk",47,15,20,84,5,58
"Christina Lk",47,20,30,67,1,479
"Christina Lk",47,20,30,67,2,473
"Christina Lk",47,20,30,67,3,568
"Christina Lk",47,20,30,67,4,218
"Christina Lk",47,20,30,67,5,0
"Christina Lk",47,30,40,41,1,175
"Christina Lk",47,30,40,41,2,363
"Christina Lk",47,30,40,41,3,422
"Christina Lk",47,30,40,41,4,0
"Christina Lk",47,30,40,41,5,0
"Chutine Lk",48,2,5,587,1,1164
"Chutine Lk",48,2,5,587,2,1043
"Chutine Lk",48,2,5,587,3,1250
"Chutine Lk",48,2,5,587,4,1108
"Chutine Lk",48,2,5,587,5,1058
"Chutine Lk",48,3,5,587,1,1164
"Chutine Lk",48,3,5,587,2,1043
"Chutine Lk",48,3,5,587,3,1250
"Chutine Lk",48,3,5,587,4,1108
"Chutine Lk",48,3,5,587,5,1058
"Chutine Lk",48,5,10,531,1,1135
"Chutine Lk",48,5,10,531,2,1031
"Chutine Lk",48,5,10,531,3,1223
"Chutine Lk",48,5,10,531,4,1063
"Chutine Lk",48,5,10,531,5,1010
"Chutine Lk",48,10,15,490,1,1107
"Chutine Lk",48,10,15,490,2,1019
"Chutine Lk",48,10,15,490,3,1202
"Chutine Lk",48,10,15,490,4,923
"Chutine Lk",48,10,15,490,5,776
"Chutine Lk",48,15,20,464,1,1077
"Chutine Lk",48,15,20,464,2,1007
"Chutine Lk",48,15,20,464,3,1176
"Chutine Lk",48,15,20,464,4,895
"Chutine Lk",48,15,20,464,5,369
"Chutine Lk",48,20,30,434,1,1044
"Chutine Lk",48,20,30,434,2,992
"Chutine Lk",48,20,30,434,3,1149
"Chutine Lk",48,20,30,434,4,839
"Chutine Lk",48,20,30,434,5,0
"Chutine Lk",48,30,40,401,1,995
"Chutine Lk",48,30,40,401,2,959
"Chutine Lk",48,30,40,401,3,1104
"Chutine Lk",48,30,40,401,4,738
"Chutine Lk",48,30,40,401,5,0
"Chutine Lk",48,40,50,367,1,959
"Chutine Lk",48,40,50,367,2,930
"Chutine Lk",48,40,50,367,3,1062
"Chutine Lk",48,40,50,367,4,643
"Chutine Lk",48,40,50,367,5,0
"Chutine Lk",48,50,60,340,1,922
"Chutine Lk",48,50,60,340,2,897
"Chutine Lk",48,50,60,340,3,1009
"Chutine Lk",48,50,60,340,4,573
"Chutine Lk",48,50,60,340,5,0
"Cowichan Lk",185,2,5,6222,1,1840
"Cowichan Lk",185,2,5,6222,2,2560
"Cowichan Lk",185,2,5,6222,3,1820
"Cowichan Lk",185,2,5,6222,4,2550
"Cowichan Lk",185,2,5,6222,5,2570
"Cowichan Lk",185,2,5,6222,6,1140
"Cowichan Lk",185,2,5,6222,7,840
"Cowichan Lk",185,3,5,6222,1,1840
"Cowichan Lk",185,3,5,6222,2,2560
"Cowichan Lk",185,3,5,6222,3,1820
"Cowichan Lk",185,3,5,6222,4,2550
"Cowichan Lk",185,3,5,6222,5,2570
"Cowichan Lk",185,3,5,6222,6,1140
"Cowichan Lk",185,3,5,6222,7,840
"Cowichan Lk",185,5,10,5944,1,1840
"Cowichan Lk",185,5,10,5944,2,2560
"Cowichan Lk",185,5,10,5944,3,1820
"Cowichan Lk",185,5,10,5944,4,2429
"Cowichan Lk",185,5,10,5944,5,2471
"Cowichan Lk",185,5,10,5944,6,1140
"Cowichan Lk",185,5,10,5944,7,773
"Cowichan Lk",185,10,15,5667,1,1840
"Cowichan Lk",185,10,15,5667,2,2324
"Cowichan Lk",185,10,15,5667,3,1801
"Cowichan Lk",185,10,15,5667,4,2111
"Cowichan Lk",185,10,15,5667,5,2341
"Cowichan Lk",185,10,15,5667,6,1140
"Cowichan Lk",185,10,15,5667,7,732
"Cowichan Lk",185,15,20,5389,1,1799
"Cowichan Lk",185,15,20,5389,2,2257
"Cowichan Lk",185,15,20,5389,3,1777
"Cowichan Lk",185,15,20,5389,4,1710
"Cowichan Lk",185,15,20,5389,5,2238
"Cowichan Lk",185,15,20,5389,6,1123
"Cowichan Lk",185,15,20,5389,7,715
"Cowichan Lk",185,20,30,4970,1,1714
"Cowichan Lk",185,20,30,4970,2,2149
"Cowichan Lk",185,20,30,4970,3,1767
"Cowichan Lk",185,20,30,4970,4,1396
"Cowichan Lk",185,20,30,4970,5,1977
"Cowichan Lk",185,20,30,4970,6,1089
"Cowichan Lk",185,20,30,4970,7,682
"Cowichan Lk",185,30,40,4408,1,1625
"Cowichan Lk",185,30,40,4408,2,1953
"Cowichan Lk",185,30,40,4408,3,1738
"Cowichan Lk",185,30,40,4408,4,918
"Cowichan Lk",185,30,40,4408,5,1820
"Cowichan Lk",185,30,40,4408,6,1041
"Cowichan Lk",185,30,40,4408,7,640
"Cowichan Lk",185,40,50,3731,1,1312
"Cowichan Lk",185,40,50,3731,2,1455
"Cowichan Lk",185,40,50,3731,3,1647
"Cowichan Lk",185,40,50,3731,4,749
"Cowichan Lk",185,40,50,3731,5,1694
"Cowichan Lk",185,40,50,3731,6,1003
"Cowichan Lk",185,40,50,3731,7,541
"Cowichan Lk",185,50,60,2937,1,609
"Cowichan Lk",185,50,60,2937,2,1151
"Cowichan Lk",185,50,60,2937,3,1527
"Cowichan Lk",185,50,60,2937,4,266
"Cowichan Lk",185,50,60,2937,5,1550
"Cowichan Lk",185,50,60,2937,6,951
"Cowichan Lk",185,50,60,2937,7,499
"DEVON LAKE",29,2,5,167,1,390
"DEVON LAKE",29,2,5,167,2,639
"DEVON LAKE",29,2,5,167,3,496
"DEVON LAKE",29,2,5,167,4,507
"DEVON LAKE",29,2,5,167,5,894
"DEVON LAKE",29,2,5,167,6,900
"DEVON LAKE",29,2,5,167,7,1100
"DEVON LAKE",29,3,5,167,1,390
"DEVON LAKE",29,3,5,167,2,639
"DEVON LAKE",29,3,5,167,3,496
"DEVON LAKE",29,3,5,167,4,507
