preservative_code,preservative_description
0,Fresh
1,Formalin/5weeks
2,70% ETOH/5weeks
3,50% ETOH/5weeks
4,Formalin/>5months
5,95% Ethanol
9,Unknown
95,Formalin/1-2days
96,Formalin/3weeks
97,Formalin/4weeks
98,Unknown
99,Formalin/Assumed
