lake_code,lake_name,lake_latitude,lake_longitude
97,Little Atlin Lake,60 deg 15 min,133 deg 57 min
146,Little Long Lake,49 deg 55 min,125 deg 28 min
98,Little Salmon Lake,62 deg 11 min,134 deg 40 min
82,Little Shuswap Lake,50 deg 51 min,119 deg 38 min
113,Little Toquart Lake,49 deg 03 min,125 deg 21 min
8,Long Lake,51 deg 15 min,127 deg 10 min
801,Long Lake (A),51 deg 15 min,127 deg 13 min
802,Long Lake (B),51 deg 15 min,127 deg 05 min
129,Long Lake (YK),61 deg 21 min,136 deg 41 min
174,Low Lake,48 deg 30 min,123 deg 35 min
20,Lowe Lake,53 deg 34 min,129 deg 33 min
111,Maggie Lake,49 deg 00 min,125 deg 25 min
79,Mara Lake,50 deg 47 min,119 deg 00 min
55,Mathers Lake,52 deg 58 min,131 deg 50 min
99,Mayo Lake,63 deg 43 min,135 deg 04 min
223,McBride Lake,49 deg 20 min,125 deg 30 min
147,Mddle Quinsam Lake,49 deg 56 min,125 deg 29 min
118,Megin Lake,49 deg 29 min,126 deg 04 min
32,Mercer Lake,53 deg 34 min,132 deg 53 min
43,Meziadin Lake,56 deg 02 min,129 deg 15 min
100,Michie Lake,60 deg 41 min,134 deg 10 min
109,Miller Lake,51 deg 04 min,118 deg 06 min
131,Minktrap Lake,53 deg 27 min,129 deg 45 min
7,Mohun Lake,50 deg 07 min,125 deg 30 min
158,Mohun Lake (Comida),50 deg 09 min,125 deg 31 min
84,Momich Lake,51 deg 19 min,119 deg 21 min
188,Moore Lake,NA,NA
15,Morice Lake,53 deg 59 min,127 deg 37 min
56,Morrison Lake,55 deg 14 min,126 deg 22 min
57,Mosquito Lake,53 deg 03 min,132 deg 06 min
45,Muchalat Lake,49 deg 41 min,126 deg 06 min
44,Muriel Lake,49 deg 08 min,125 deg 36 min
165,Muriel Lake S-1,49 deg 08 min,125 deg 37 min
197,Nahmint Bay,NA,NA
153,Nahmint Lake,49 deg 09 min,125 deg 00 min
121,Nahwitti Lake,50 deg 43 min,127 deg 51 min
224,Nakina Lake,NA,NA
150,Namu Lake,51 deg 53 min,127 deg 50 min
198,Nanat Bay,NA,NA
58,Neskataheen Lake,60 deg 10 min,137 deg 05 min
21,Nimpkish Lake,50 deg 25 min,125 deg 40 min
218,Niska Lake,NA,NA
132,Nitinat Lake,48 deg 45 min,124 deg 45 min
