source_file,lake,lake_code,survey_date,sounder_type,sounder_gain,acoustic_survey_notes
TARGET05.DAT,Henderson Lk        Hanslit-Rankin,3,2006-01-09,SIMRAD               2,NA,EY500 9Jan06/4Feb06/BH/EY500/0/0/0/6/100/0
TARGET05.DAT,Henderson Lk        Rankin Survey,3,2005-06-28,SIMRAD               2,NA,EY500 28Jun05/21Feb06/BH/EY500/0/0/0/5/87/14
TARGET05.DAT,Henderson Lk        Rankin Survey,3,2005-09-27,SIMRAD               2,NA,EY500 27Sep05/20Oct05/BH/EY500/0/0/0/5/73/36
TARGET05.DAT,"Henderson Lk        processed by pr, 22Feb06",3,2005-07-27,SIMRAD               2,10,"clr,lghtwnd,.479mn,AT17.5,ST20."
TARGET05.DAT,KCA                 EY500,40,2006-02-22,SIMRAD               2,NA,EY500 22Feb06/8Mar06/BH/EY500/0/0/0/4/7/32
TARGET05.DAT,"KCA                 Printed with Sonar5Pro, counted by PR 15Jul2010",40,2005-02-09,SIMRAD               2,10,EY500
TARGET05.DAT,KMA                 Hanslit-Taylor,41,2006-02-21,SIMRAD               2,NA,EY500 21Feb06/9Feb06/BH/EY500/0/0/0/4/5/33
TARGET05.DAT,"KMA                 printed with Sonar5Pro, counted by PR 21Jul2010",41,2005-02-08,SIMRAD               2,10,EY500 survey
TARGET05.DAT,Long Lk (A)         counted on sonar5 prints,801,2005-12-07,SIMRAD               2,NA,Hanslit-Bachen Survey 7Dec05/5Feb07/BH/EY500
TARGET05.DAT,Long Lk (B)         counted on sonar 5 prints,802,2005-12-07,SIMRAD               2,NA,Hanslit-Bachen 7Dec05/5Feb07/BH/EY500/0/0/0/11/41/882/0
TARGET05.DAT,Osoyoos Lk (N)      Hanslit-Bachen Survey,238,2005-11-28,SIMRAD               2,500,NA
TARGET05.DAT,Osoyoos Lk (N)      Hanslit-ONFC,238,2006-01-18,SIMRAD               2,NA,EY500 18Jan06/20Feb06/BH/EY500/0/0/0/3/150/0
TARGET05.DAT,Osoyoos Lk (N)      Rankin Survey,238,2005-08-04,SIMRAD               2,NA,NA
TARGET05.DAT,Osoyoos Lk (N)      Rankin Survey,238,2005-08-05,SIMRAD               2,NA,"Target count totals corrected by PR, 15Jun2006."
TARGET05.DAT,Osoyoos Lk (N)      Rankin Survey,238,2005-09-13,SIMRAD               2,500,NA
TARGET05.DAT,"Osoyoos Lk (N)      processed by pr, 09Sep2005.",238,2005-05-26,SIMRAD               2,10,clr/lghtwnd/at16/st16.5/.835mn@01:20 ey500@ts-60
TARGET05.DAT,Owikeno Lk (A)      Hanslit-Bachen,228,2006-01-25,SIMRAD               2,NA,25Jan06/13Mar06/EY500/0/0/0/4/185/0
TARGET05.DAT,Skaha Lk,241,2005-05-24,SIMRAD               2,500,NA
TARGET05.DAT,Skaha Lk,241,2005-08-02,SIMRAD               2,NA,"Rankin,Wright,Walsh 2Aug05/15Jun06/BH/EY500/0/0/0/128/42"
TARGET05.DAT,Skaha Lk,241,2005-09-12,SIMRAD               2,500,NA
TARGET05.DAT,Skaha Lk,241,2005-10-02,SIMRAD               2,5,NA
TARGET05.DAT,Skaha Lk,241,2006-01-17,SIMRAD               2,NA,EY500 17Jan06/20Feb06/BH/EY500/0/0/0/0/0/0
TARGET05.DAT,"Skaha Lk            ""Stickleback"" are kokanee fry &>0+",241,2005-07-11,SIMRAD               2,10,"clr;chp;.272mn;at21.5,ST21 processed by bh, entered by pr"
TARGET05.DAT,Skaha Lk            Hanslit-ONFC Survey Juv.Count Only,241,2005-11-22,SIMRAD               2,500,22Nov05/4Dec05/BH/EY500/0/0/0/Lots/122/0
TARGET05.DAT,Sproat Lk           Hanslit-Herriot,2,2006-01-04,SIMRAD               2,NA,4Jan06/1Mar06/BH/EY500
TARGET05.DAT,Tatsamenie Lk       Mercer Survey,66,2005-10-04,SIMRAD               2,10,NA
TARGET05.DAT,Vernon Lk,23,2005-09-19,SIMRAD               2,500,NA
TARGET05.DAT,Vernon Lk,23,2005-10-04,SIMRAD               2,500,NA
TARGET05.DAT,Vernon Lk           EY5,23,2005-11-01,SIMRAD               2,NA,NA
TARGET05.DAT,Vernon Lk           Hanslit-Bachen,23,2005-12-12,SIMRAD               2,NA,12Dec05/17Feb06/BH/EY5000/0/0/0/0/0/
TARGET05.DAT,Woss Lk,22,2005-09-18,SIMRAD               2,500,NA
TARGET05.DAT,Woss Lk,22,2005-10-05,SIMRAD               2,500,NA
TARGET05.DAT,Woss Lk             Hanslit-Bachen,22,2005-11-02,SIMRAD               2,NA,EY500
TARGET05.DAT,Woss Lk             Hanslit-Herriott,22,2005-12-14,SIMRAD               2,NA,EY500 14Dec05/16Feb06/BH/EY500/0/0/0/0/0/0
TARGET06.DAT,GCL                 Rankin-Hanslit,1,2007-02-05,SIMRAD               2,10,5Feb07/9Mar07/BH/EYM/20101/0/0/0/9/100/0
TARGET06.DAT,Henderson Lk        Hanslit-Bachen Survey,3,2007-01-20,FURUNO FM 22         1,NA,20Jan07/9Mar07/BH/EYM/20101/0/0/0
TARGET06.DAT,Henderson Lk        Hanslit-OBrian,3,2006-07-20,SIMRAD               2,NA,20Jul06/22Aug06/BH/EY500/0/0/0/17/23/743
TARGET06.DAT,Henderson Lk        Hanslit-OBrien Survey,3,2006-06-21,SIMRAD               2,NA,21Jun06/16Aug06/BH/EY500/0/0/0/6/103/24
