"Lake","ATS Year","Date","Sounder Type","#Transects","#Targets","#Trawls","Surface Trawls","Trawl Time (min)","#Fish","#Sockeye","#Stickleback","Others"
"Great Central Lake","1993",1994-02-02,"SIMRAD               ",6,5694,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1994",1994-10-20,"SIMRAD               ",6,2935,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1994",1995-01-25,"SIMRAD               ",6,17163,2,0,0,19,12,7,0
"Great Central Lake","1994",1995-01-26,"SIMRAD               ",6,15001,6,0,0,171,150,21,0
"Great Central Lake","1995",1995-07-14,"SIMRAD               ",6,8281,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1995",1995-07-15,"SIMRAD               ",6,10832,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1995",1995-11-23,"SIMRAD               ",6,6374,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1995",1996-02-01,"SIMRAD               ",6,11859,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1996",1996-07-25,"SIMRAD               ",6,3696,3,0,0,193,193,0,0
"Great Central Lake","1996",1996-11-20,"SIMRAD               ",6,3356,5,0,0,12,12,0,0
"Great Central Lake","1996",1997-02-26,"SIMRAD               ",6,9930,8,0,0,46,36,10,0
"Great Central Lake","1996",1997-02-27,NA,NA,NA,3,0,0,29,29,0,0
"Great Central Lake","1997",1997-07-24,"SIMRAD               ",6,6516,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1997",1997-07-29,NA,NA,NA,1,0,0,14,14,0,0
"Great Central Lake","1997",1997-09-09,NA,NA,NA,6,0,0,259,259,0,0
"Great Central Lake","1997",1997-11-20,"SIMRAD               ",6,11875,5,0,0,232,231,1,0
"Great Central Lake","1998",1998-07-28,"SIMRAD               ",6,6715,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1998",1998-12-03,"SIMRAD               ",6,17287,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1999",1999-06-21,"FURUNO FM 22         ",6,4251,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1999",1999-07-21,"SIMRAD               ",6,4689,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","1999",1999-11-29,"SIMRAD               ",6,4639,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2000",2000-11-29,"SIMRAD               ",6,14560,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2001",2001-12-05,"SIMRAD               ",6,3390,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2001",2002-03-10,"SIMRAD               ",6,4238,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2002",2003-01-15,"SIMRAD               ",6,12014,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2003",2004-01-23,"SIMRAD               ",6,13996,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2004",2004-12-08,"SIMRAD               ",6,6448,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2005",2006-02-16,"SIMRAD               ",6,4105,NA,NA,NA,NA,NA,NA,NA
"Great Central Lake","2006",2007-02-05,"SIMRAD               ",6,7487,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1977",1977-10-04,"FURUNO FM 22         ",18,5175,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1977",1978-03-13,"FURUNO FM 22         ",18,4543,2,0,60,31,31,0,0
"Henderson Lake","1977",1978-03-14,NA,NA,NA,1,0,30,26,26,0,0
"Henderson Lake","1978",1979-03-13,"FURUNO FM 22         ",18,5211,4,0,100,43,6,37,0
"Henderson Lake","1978",1979-03-14,NA,NA,NA,1,0,20,6,4,2,0
"Henderson Lake","1979",1979-11-27,NA,NA,NA,4,0,63,88,85,3,0
"Henderson Lake","1980",1980-08-11,"FURUNO FM 22         ",18,2593,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1980",1980-10-20,"FURUNO FM 22         ",18,6422,2,0,40,17,15,2,0
"Henderson Lake","1980",1980-10-21,NA,NA,NA,2,0,60,31,6,25,0
"Henderson Lake","1981",1981-08-12,"FURUNO FM 22         ",18,2923,1,0,15,9,1,8,0
"Henderson Lake","1981",1981-08-13,NA,NA,NA,4,1,50,39,29,9,1
"Henderson Lake","1981",1981-10-21,"FURUNO FM 22         ",18,6374,4,1,80,29,0,29,0
"Henderson Lake","1981",1981-10-22,NA,NA,NA,1,0,20,1,0,1,0
"Henderson Lake","1981",1982-03-06,"FURUNO FM 22         ",18,5293,3,0,60,16,16,0,0
"Henderson Lake","1982",1982-06-14,"FURUNO FM 22         ",18,3609,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1982",1982-06-15,NA,NA,NA,4,0,75,146,107,39,0
"Henderson Lake","1982",1982-07-20,"FURUNO FM 22         ",18,2673,2,0,40,63,61,2,0
"Henderson Lake","1982",1982-07-21,NA,NA,NA,3,1,55,11,7,3,1
"Henderson Lake","1982",1982-08-10,"FURUNO FM 22         ",18,5238,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1982",1982-08-11,NA,NA,NA,4,1,80,112,111,1,0
"Henderson Lake","1982",1982-11-30,"FURUNO FM 22         ",18,8070,5,1,100,93,90,3,0
"Henderson Lake","1983",1983-07-25,"FURUNO FM 22         ",18,3371,3,0,70,119,119,0,0
"Henderson Lake","1983",1983-07-26,NA,NA,NA,2,1,20,2,1,0,1
"Henderson Lake","1983",1983-09-14,"FURUNO FM 22         ",18,7031,4,0,60,113,112,1,0
"Henderson Lake","1983",1983-09-15,NA,NA,NA,1,1,15,1,0,0,1
"Henderson Lake","1983",1983-11-02,"FURUNO FM 22         ",18,7505,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1983",1983-11-07,NA,NA,NA,5,1,85,57,55,1,1
"Henderson Lake","1984",1984-08-14,"SIMRAD               ",18,2095,2,0,30,44,44,0,0
"Henderson Lake","1984",1984-08-15,NA,NA,NA,2,0,40,24,22,2,0
"Henderson Lake","1984",1984-10-28,"FURUNO FM 22         ",18,9243,5,0,75,79,51,28,0
"Henderson Lake","1985",1985-08-17,"SIMRAD               ",18,4866,1,0,15,16,15,1,0
"Henderson Lake","1985",1985-08-18,"FURUNO FM 22         ",18,4907,6,1,90,563,556,7,0
"Henderson Lake","1986",1986-08-29,"SIMRAD               ",18,3882,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1986",1986-08-30,"FURUNO FM 22         ",18,2003,1,1,46,1,0,1,0
"Henderson Lake","1986",1986-08-31,NA,NA,NA,1,0,30,16,15,1,0
"Henderson Lake","1986",1986-09-23,NA,NA,NA,2,1,30,8,6,2,0
"Henderson Lake","1986",1986-09-24,"SIMRAD               ",18,4198,4,1,60,55,30,25,0
"Henderson Lake","1986",1986-12-02,"SIMRAD               ",18,6893,5,0,90,127,6,121,0
"Henderson Lake","1987",1987-07-09,NA,NA,NA,1,0,0,5,0,5,0
"Henderson Lake","1987",1987-07-10,"SIMRAD               ",18,1245,8,2,0,55,7,48,0
"Henderson Lake","1987",1987-09-15,NA,NA,NA,2,0,0,17,1,16,0
"Henderson Lake","1987",1987-09-16,"SIMRAD               ",18,1517,8,1,0,258,4,254,0
"Henderson Lake","1987",1987-09-17,NA,NA,NA,2,0,0,131,0,131,0
"Henderson Lake","1987",1988-02-29,"SIMRAD               ",18,3443,4,0,0,54,0,54,0
"Henderson Lake","1987",1988-03-01,NA,NA,NA,8,0,0,425,0,425,0
"Henderson Lake","1988",1988-07-07,"SIMRAD               ",18,2364,1,0,0,47,36,11,0
"Henderson Lake","1988",1988-07-08,NA,NA,NA,7,2,0,68,13,55,0
"Henderson Lake","1988",1988-09-22,"SIMRAD               ",18,4880,5,0,0,25,16,9,0
"Henderson Lake","1988",1988-09-23,NA,NA,NA,2,0,0,4,4,0,0
"Henderson Lake","1989",1989-05-21,NA,NA,NA,1,1,0,3,0,3,0
"Henderson Lake","1989",1989-06-21,"SIMRAD               ",18,3538,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1989",1989-06-22,NA,NA,NA,5,1,0,315,303,12,0
"Henderson Lake","1989",1989-10-01,"SIMRAD               ",18,9320,2,0,0,81,81,0,0
"Henderson Lake","1989",1989-10-02,NA,NA,NA,5,0,0,124,121,3,0
"Henderson Lake","1989",1990-02-23,"SIMRAD               ",18,10696,4,1,0,21,19,2,0
"Henderson Lake","1989",1990-02-24,NA,NA,NA,5,1,0,74,63,11,0
"Henderson Lake","1990",1990-06-20,"SIMRAD               ",18,1760,1,0,0,13,12,1,0
"Henderson Lake","1990",1990-06-21,NA,NA,NA,6,1,0,69,53,16,0
"Henderson Lake","1990",1990-10-05,"SIMRAD               ",18,4448,5,0,0,35,23,12,0
"Henderson Lake","1990",1990-10-06,NA,NA,NA,3,0,0,51,13,38,0
"Henderson Lake","1991",1991-06-25,"SIMRAD               ",18,956,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1991",1991-06-26,NA,NA,NA,3,1,0,3,1,2,0
"Henderson Lake","1991",1991-10-08,"SIMRAD               ",18,2181,5,1,0,9,4,5,0
"Henderson Lake","1991",1991-10-09,NA,NA,NA,6,0,0,32,2,30,0
"Henderson Lake","1991",1992-02-12,"SIMRAD               ",18,3122,4,0,0,11,4,7,0
"Henderson Lake","1992",1992-06-23,"SIMRAD               ",18,2705,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1992",1992-12-03,"SIMRAD               ",18,6255,4,1,0,36,31,5,0
"Henderson Lake","1992",1992-12-04,NA,NA,NA,3,0,0,247,9,238,0
"Henderson Lake","1992",1993-02-25,NA,NA,NA,4,0,0,59,30,29,0
"Henderson Lake","1992",1993-02-26,"SIMRAD               ",18,6079,2,0,0,180,1,179,0
"Henderson Lake","1993",1993-07-17,"SIMRAD               ",18,11528,3,1,0,285,284,1,0
"Henderson Lake","1993",1993-07-18,NA,NA,NA,5,1,0,454,449,5,0
"Henderson Lake","1993",1993-10-26,"SIMRAD               ",18,4146,3,0,0,106,106,0,0
"Henderson Lake","1993",1993-10-27,NA,NA,NA,4,0,0,108,26,82,0
"Henderson Lake","1993",1994-02-15,"SIMRAD               ",18,19982,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1993",1994-02-16,NA,NA,NA,4,1,0,23,9,14,0
"Henderson Lake","1994",1994-06-26,"SIMRAD               ",18,35013,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1994",1994-06-27,"SIMRAD               ",18,26278,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1994",1994-08-10,"SIMRAD               ",18,48479,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1994",1994-11-17,"SIMRAD               ",18,88511,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1994",1994-11-19,NA,NA,NA,4,1,0,112,112,0,0
"Henderson Lake","1994",1994-11-20,NA,NA,NA,4,0,0,176,176,0,0
"Henderson Lake","1994",1994-11-21,NA,NA,NA,1,1,0,5,5,0,0
"Henderson Lake","1994",1995-03-01,NA,NA,NA,9,2,0,214,211,3,0
"Henderson Lake","1994",1995-03-02,"SIMRAD               ",18,56635,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1995",1995-06-21,"SIMRAD               ",18,4559,3,1,0,50,48,2,0
"Henderson Lake","1995",1995-06-22,NA,NA,NA,2,0,0,55,52,3,0
"Henderson Lake","1995",1995-06-23,"SIMRAD               ",18,6331,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1995",1995-10-11,"SIMRAD               ",18,17035,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1995",1995-10-12,NA,NA,NA,6,0,0,103,45,58,0
"Henderson Lake","1995",1995-10-13,NA,NA,NA,5,0,0,33,14,19,0
"Henderson Lake","1995",1996-02-12,"SIMRAD               ",18,18410,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1996",1996-07-03,"SIMRAD               ",18,5289,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1996",1996-07-05,NA,NA,NA,1,0,0,13,2,11,0
"Henderson Lake","1996",1996-07-06,NA,NA,NA,3,0,0,6,5,1,0
"Henderson Lake","1996",1996-07-27,"SIMRAD               ",18,6129,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1996",1996-07-29,NA,NA,NA,2,0,0,37,2,35,0
"Henderson Lake","1996",1996-07-30,NA,NA,NA,2,0,0,28,6,22,0
"Henderson Lake","1996",1997-02-04,"SIMRAD               ",18,12198,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1996",1997-02-06,NA,NA,NA,1,0,0,11,1,10,0
"Henderson Lake","1997",1997-06-11,"SIMRAD               ",18,14542,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1997",1997-08-03,"SIMRAD               ",18,9753,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1997",1997-11-14,"SIMRAD               ",18,35387,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1997",1998-02-22,"SIMRAD               ",18,34298,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1998",1998-06-15,"SIMRAD               ",18,7892,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1998",1999-02-27,"SIMRAD               ",18,14340,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","1999",1999-08-23,"SIMRAD               ",18,21423,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2000",2000-07-11,"SIMRAD               ",18,7222,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2000",2000-07-12,"SIMRAD               ",18,1932,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2000",2000-11-21,"SIMRAD               ",18,14456,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2001",2001-10-29,"SIMRAD               ",18,22669,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2002",2002-11-05,"SIMRAD               ",18,18093,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2003",2004-03-10,"SIMRAD               ",18,16792,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2004",2004-11-28,"SIMRAD               ",18,9559,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2005",2005-06-28,"SIMRAD               ",18,10387,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2005",2005-07-27,"SIMRAD               ",18,3628,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2005",2005-09-27,"SIMRAD               ",18,13027,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2005",2006-01-09,"SIMRAD               ",18,7354,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2006",2006-06-21,"SIMRAD               ",18,1933,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2006",2006-07-20,"SIMRAD               ",18,3906,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2006",2006-09-19,"SIMRAD               ",18,9751,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2006",2007-01-20,"FURUNO FM 22         ",18,5559,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2007",2007-06-28,"SIMRAD               ",18,4454,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2007",2007-07-26,"SIMRAD               ",18,3321,NA,NA,NA,NA,NA,NA,NA
"Henderson Lake","2007",2007-08-24,"SIMRAD               ",18,3804,NA,NA,NA,NA,NA,NA,NA
"Hesquiat Lake","1984",1984-09-28,NA,NA,NA,1,0,15,9,0,9,0
"Hesquiat Lake","1984",1984-10-27,"FURUNO FM 22         ",6,150,1,0,15,1,0,1,0
"Hesquiat Lake","1984",1984-10-28,NA,NA,NA,1,0,15,2,0,2,0
"Heydon Lake","1984",1984-11-04,"FURUNO FM 22         ",6,637,2,0,30,3,3,0,0
"Heydon Lake","1984",1984-11-05,NA,NA,NA,1,0,15,6,6,0,0
"Heydon Lake","1985",1985-09-15,"SIMRAD               ",6,1167,NA,NA,NA,NA,NA,NA,NA
"Heydon Lake","1985",1985-09-16,NA,NA,NA,3,0,45,7,7,0,0
"Heydon Lake","1986",1986-09-11,"SIMRAD               ",6,519,NA,NA,NA,NA,NA,NA,NA
"Heydon Lake","1986",1986-09-12,NA,NA,NA,5,0,75,17,17,0,0
"Heydon Lake","1987",1987-09-07,"SIMRAD               ",6,1237,NA,NA,NA,NA,NA,NA,NA
"Heydon Lake","1987",1987-09-08,NA,NA,NA,3,0,0,14,14,0,0
"Heydon Lake","2000",2000-11-09,"SIMRAD               ",8,953,NA,NA,NA,NA,NA,NA,NA
"Heydon_2005","2004",2005-02-25,"SIMRAD               ",8,831,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1977",1977-10-05,"FURUNO FM 22         ",11,608,1,0,45,60,60,0,0
"Hobiton Lake","1977",1978-03-14,"FURUNO FM 22         ",11,589,3,1,90,115,115,0,0
"Hobiton Lake","1978",1979-03-14,"FURUNO FM 22         ",11,784,1,0,30,10,10,0,0
"Hobiton Lake","1979",1980-03-01,NA,NA,NA,1,0,20,2,2,0,0
"Hobiton Lake","1979",1980-03-02,NA,NA,NA,2,0,60,55,55,0,0
"Hobiton Lake","1979",1980-03-10,"FURUNO FM 22         ",11,297,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1979",1980-03-11,NA,NA,NA,1,0,20,2,2,0,0
"Hobiton Lake","1980",1980-09-12,"FURUNO FM 22         ",11,491,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1980",1981-02-24,"FURUNO FM 22         ",11,132,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1981",1981-08-13,"FURUNO FM 22         ",11,729,3,0,60,165,165,0,0
"Hobiton Lake","1981",1981-08-14,NA,NA,NA,2,2,25,4,3,0,1
"Hobiton Lake","1981",1981-10-22,"FURUNO FM 22         ",11,790,5,1,95,115,115,0,0
"Hobiton Lake","1982",1982-08-13,"FURUNO FM 22         ",11,720,4,0,80,165,165,0,0
"Hobiton Lake","1982",1982-08-14,NA,NA,NA,1,0,20,2,2,0,0
"Hobiton Lake","1982",1982-09-21,"SIMRAD               ",11,1707,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1982",1982-09-22,"SIMRAD               ",11,606,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1982",1982-12-01,"FURUNO FM 22         ",11,1260,5,1,100,32,30,0,2
"Hobiton Lake","1982",1983-03-15,"SIMRAD               ",11,633,1,0,10,20,20,0,0
"Hobiton Lake","1983",1983-06-28,"SIMRAD               ",11,926,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1983",1983-06-29,"SIMRAD               ",11,99,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1983",1983-07-24,"FURUNO FM 22         ",11,413,1,1,15,1,0,0,1
"Hobiton Lake","1983",1983-07-25,NA,NA,NA,4,0,55,134,133,0,1
"Hobiton Lake","1983",1983-09-15,"FURUNO FM 22         ",11,731,5,1,90,100,99,0,1
"Hobiton Lake","1983",1983-10-31,"FURUNO FM 22         ",11,791,5,1,95,70,68,1,1
"Hobiton Lake","1983",1984-03-06,"SIMRAD               ",11,1781,1,0,20.2,40,38,2,0
"Hobiton Lake","1983",1984-03-07,"FURUNO FM 22         ",11,543,3,2,55.3,48,46,0,2
"Hobiton Lake","1983",1984-03-08,"SIMRAD               ",11,2009,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1983",1984-03-15,NA,NA,NA,1,0,10,8,8,0,0
"Hobiton Lake","1984",1984-04-18,"SIMRAD               ",11,2923,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-04-25,"SIMRAD               ",11,2529,4,1,60,46,46,0,0
"Hobiton Lake","1984",1984-05-02,"SIMRAD               ",11,1875,4,1,60,160,160,0,0
"Hobiton Lake","1984",1984-05-10,"SIMRAD               ",11,1883,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-05-11,NA,NA,NA,2,0,30,60,60,0,0
"Hobiton Lake","1984",1984-05-16,"SIMRAD               ",11,823,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-05-31,"SIMRAD               ",11,1392,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-06-01,NA,NA,NA,1,0,15,75,75,0,0
"Hobiton Lake","1984",1984-06-07,"SIMRAD               ",11,2671,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-06-08,NA,NA,NA,3,0,45,103,103,0,0
"Hobiton Lake","1984",1984-06-09,NA,NA,NA,1,0,15,30,30,0,0
"Hobiton Lake","1984",1984-06-12,"SIMRAD               ",11,2396,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-06-13,"SIMRAD               ",11,43,3,0,45,66,66,0,0
"Hobiton Lake","1984",1984-06-18,"SIMRAD               ",11,2407,3,0,45,72,72,0,0
"Hobiton Lake","1984",1984-06-29,"SIMRAD               ",11,3324,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-07-05,"SIMRAD               ",11,2930,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-07-06,NA,NA,NA,2,0,30,53,53,0,0
"Hobiton Lake","1984",1984-07-13,"SIMRAD               ",11,2700,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-07-14,"SIMRAD               ",11,147,2,0,30,134,134,0,0
"Hobiton Lake","1984",1984-08-16,"SIMRAD               ",11,3122,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1984-08-17,"SIMRAD               ",11,138,3,0,45,142,142,0,0
"Hobiton Lake","1984",1984-10-29,"FURUNO FM 22         ",11,1502,1,1,15,3,0,3,0
"Hobiton Lake","1984",1984-10-30,NA,NA,NA,5,0,75,25,25,0,0
"Hobiton Lake","1984",1984-12-17,"FURUNO FM 22         ",11,721,2,1,30,5,5,0,0
"Hobiton Lake","1984",1984-12-18,"SIMRAD               ",11,2760,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1985-02-16,"SIMRAD               ",11,3457,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1984",1985-02-17,"FURUNO FM 22         ",11,1470,2,0,30,15,15,0,0
"Hobiton Lake","1985",1985-05-30,"SIMRAD               ",11,1896,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-05-31,NA,NA,NA,2,0,30,12,12,0,0
"Hobiton Lake","1985",1985-06-04,"SIMRAD               ",11,1772,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-06-10,"SIMRAD               ",11,1580,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-06-12,NA,NA,NA,4,0,60,81,80,1,0
"Hobiton Lake","1985",1985-06-24,"SIMRAD               ",11,1737,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-06-25,NA,NA,NA,1,0,15,96,96,0,0
"Hobiton Lake","1985",1985-06-26,NA,NA,NA,2,1,30,53,53,0,0
"Hobiton Lake","1985",1985-07-03,"SIMRAD               ",11,1925,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-07-04,NA,NA,NA,2,0,30,56,56,0,0
"Hobiton Lake","1985",1985-07-09,"SIMRAD               ",11,2074,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-07-10,NA,NA,NA,1,0,15,184,184,0,0
"Hobiton Lake","1985",1985-07-30,"SIMRAD               ",11,2351,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-07-31,"FURUNO FM 22         ",11,1181,3,0,45,75,75,0,0
"Hobiton Lake","1985",1985-08-18,"SIMRAD               ",11,2076,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-08-19,"FURUNO FM 22         ",11,752,3,0,45,89,89,0,0
"Hobiton Lake","1985",1985-09-19,"SIMRAD               ",11,3043,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-09-20,"FURUNO FM 22         ",11,1398,4,0,60,8,8,0,0
"Hobiton Lake","1985",1985-11-27,"SIMRAD               ",11,4394,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1985-11-28,"FURUNO FM 22         ",11,971,1,0,15,1,1,0,0
"Hobiton Lake","1985",1986-01-23,"SIMRAD               ",11,2683,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1986-01-24,"SIMRAD               ",11,25,3,0,45,10,10,0,0
"Hobiton Lake","1985",1986-01-25,"FURUNO FM 22         ",11,901,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1986-03-20,"SIMRAD               ",11,1565,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1986-03-21,"SIMRAD               ",11,19,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1985",1986-03-22,"FURUNO FM 22         ",11,416,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-05-09,"SIMRAD               ",11,1589,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-05-10,"FURUNO FM 22         ",11,254,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-06-05,"SIMRAD               ",11,1633,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-06-06,NA,NA,NA,2,1,30,9,8,1,0
"Hobiton Lake","1986",1986-06-12,"SIMRAD               ",11,2446,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-06-29,"SIMRAD               ",11,3325,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-07-06,"SIMRAD               ",11,3168,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-07-14,"SIMRAD               ",11,2549,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-08-30,"FURUNO FM 22         ",11,1813,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-08-31,"SIMRAD               ",11,3377,1,0,30,12,12,0,0
"Hobiton Lake","1986",1986-09-01,NA,NA,NA,2,0,60,154,154,0,0
"Hobiton Lake","1986",1986-09-16,NA,NA,NA,1,0,15,17,17,0,0
"Hobiton Lake","1986",1986-09-26,"SIMRAD               ",11,2958,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1986",1986-09-27,"FURUNO FM 22         ",11,1533,3,0,45,16,16,0,0
"Hobiton Lake","1986",1986-12-15,"SIMRAD               ",11,2342,3,0,90,8,8,0,0
"Hobiton Lake","1986",1986-12-16,NA,NA,NA,1,0,30,22,22,0,0
"Hobiton Lake","1986",1987-01-20,"SIMRAD               ",11,2329,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1987",1987-04-20,"SIMRAD               ",11,1477,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1987",1987-04-21,NA,NA,NA,3,1,0,103,103,0,0
"Hobiton Lake","1987",1987-05-12,"SIMRAD               ",11,698,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1987",1987-05-13,NA,NA,NA,2,0,0,19,19,0,0
"Hobiton Lake","1987",1987-06-02,"SIMRAD               ",11,285,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1987",1987-06-10,"SIMRAD               ",11,369,NA,NA,NA,NA,NA,NA,NA
"Hobiton Lake","1987",1987-06-11,NA,NA,NA,3,1,0,12,12,0,0
"Hobiton Lake","1987",1987-06-18,"SIMRAD               ",11,976,2,0,0,5,5,0,0
"Hobiton Lake","1987",1987-06-19,NA,NA,NA,2,0,0,83,83,0,0
"Hobiton Lake","1987",1987-06-29,"SIMRAD               ",11,1841,1,0,0,10,10,0,0
"Hobiton Lake","1987",1987-06-30,NA,NA,NA,1,0,0,1,1,0,0
"Hobiton Lake","1987",1987-07-11,"SIMRAD               ",11,1598,4,0,0,11,11,0,0
"Hobiton Lake","1987",1987-07-23,"SIMRAD               ",11,1466,1,0,0,2,2,0,0
