"Lake","Code","Latitude","Longitude","Transect","Depth Min (m)","Depth Max (m)","Length (m)","Area (ha)"
"Bear Lake",16,"56° 08' N","126° 49' W",1,10,15,364,723
"Bear Lake",16,"56° 08' N","126° 49' W",1,15,20,213,540
"Bear Lake",16,"56° 08' N","126° 49' W",1,20,30,73,363
"Bear Lake",16,"56° 08' N","126° 49' W",1,30,40,0,168
"Bear Lake",16,"56° 08' N","126° 49' W",1,40,50,0,70
"Bear Lake",16,"56° 08' N","126° 49' W",1,50,60,0,50
"Bear Lake",16,"56° 08' N","126° 49' W",2,2,5,1213,1880
"Bear Lake",16,"56° 08' N","126° 49' W",2,3,5,1213,1484
"Bear Lake",16,"56° 08' N","126° 49' W",2,5,10,1170,1084
"Bear Lake",16,"56° 08' N","126° 49' W",2,10,15,615,723
"Bear Lake",16,"56° 08' N","126° 49' W",2,15,20,248,540
"Bear Lake",16,"56° 08' N","126° 49' W",2,20,30,0,363
"Bear Lake",16,"56° 08' N","126° 49' W",2,30,40,0,168
"Bear Lake",16,"56° 08' N","126° 49' W",2,40,50,0,70
"Bear Lake",16,"56° 08' N","126° 49' W",2,50,60,0,50
"Bear Lake",16,"56° 08' N","126° 49' W",3,2,5,495,1880
"Bear Lake",16,"56° 08' N","126° 49' W",3,3,5,495,1484
"Bear Lake",16,"56° 08' N","126° 49' W",3,5,10,306,1084
"Bear Lake",16,"56° 08' N","126° 49' W",3,10,15,232,723
"Bear Lake",16,"56° 08' N","126° 49' W",3,15,20,153,540
"Bear Lake",16,"56° 08' N","126° 49' W",3,20,30,43,363
"Bear Lake",16,"56° 08' N","126° 49' W",3,30,40,0,168
"Bear Lake",16,"56° 08' N","126° 49' W",3,40,50,0,70
"Bear Lake",16,"56° 08' N","126° 49' W",3,50,60,0,50
"Bear Lake",16,"56° 08' N","126° 49' W",4,2,5,779,1880
"Bear Lake",16,"56° 08' N","126° 49' W",4,3,5,779,1484
"Bear Lake",16,"56° 08' N","126° 49' W",4,5,10,676,1084
"Bear Lake",16,"56° 08' N","126° 49' W",4,10,15,624,723
"Bear Lake",16,"56° 08' N","126° 49' W",4,15,20,412,540
"Bear Lake",16,"56° 08' N","126° 49' W",4,20,30,92,363
"Bear Lake",16,"56° 08' N","126° 49' W",4,30,40,0,168
"Bear Lake",16,"56° 08' N","126° 49' W",4,40,50,0,70
"Bear Lake",16,"56° 08' N","126° 49' W",4,50,60,0,50
"Bear Lake",16,"56° 08' N","126° 49' W",5,2,5,521,1880
"Bear Lake",16,"56° 08' N","126° 49' W",5,3,5,521,1484
"Bear Lake",16,"56° 08' N","126° 49' W",5,5,10,521,1084
"Bear Lake",16,"56° 08' N","126° 49' W",5,10,15,509,723
"Bear Lake",16,"56° 08' N","126° 49' W",5,15,20,484,540
"Bear Lake",16,"56° 08' N","126° 49' W",5,20,30,453,363
"Bear Lake",16,"56° 08' N","126° 49' W",5,30,40,391,168
"Bear Lake",16,"56° 08' N","126° 49' W",5,40,50,273,70
"Bear Lake",16,"56° 08' N","126° 49' W",5,50,60,143,50
"Bear Lake",16,"56° 08' N","126° 49' W",6,2,5,305,1880
"Bear Lake",16,"56° 08' N","126° 49' W",6,3,5,305,1484
"Bear Lake",16,"56° 08' N","126° 49' W",6,5,10,305,1084
"Bear Lake",16,"56° 08' N","126° 49' W",6,10,15,284,723
"Bear Lake",16,"56° 08' N","126° 49' W",6,15,20,263,540
"Bear Lake",16,"56° 08' N","126° 49' W",6,20,30,200,363
"Bear Lake",16,"56° 08' N","126° 49' W",6,30,40,200,168
"Bear Lake",16,"56° 08' N","126° 49' W",6,40,50,114,70
"Bear Lake",16,"56° 08' N","126° 49' W",6,50,60,51,50
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,2,5,273,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,3,5,273,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,5,10,252,186
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,10,15,233,167
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,15,20,215,149
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,20,30,190,127
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,30,40,164,102
"Bonilla Lake",31,"53° 31' N","130° 15' W",1,40,50,153,78
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,2,5,668,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,3,5,668,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,5,10,649,186
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,10,15,643,167
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,15,20,564,149
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,20,30,547,127
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,30,40,456,102
"Bonilla Lake",31,"53° 31' N","130° 15' W",2,40,50,364,78
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,2,5,672,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,3,5,672,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,5,10,648,186
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,10,15,613,167
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,15,20,590,149
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,20,30,551,127
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,30,40,484,102
"Bonilla Lake",31,"53° 31' N","130° 15' W",3,40,50,403,78
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,2,5,225,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,3,5,225,207
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,5,10,206,186
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,10,15,183,167
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,15,20,154,149
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,20,30,86,127
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,30,40,0,102
"Bonilla Lake",31,"53° 31' N","130° 15' W",4,40,50,0,78
"Bowser Lake",35,"56° 25' N","129° 30' W",1,2,5,1499,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",1,3,5,1499,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",1,5,10,1472,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",1,10,15,1445,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",1,15,20,1417,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",1,20,30,1381,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",1,30,40,1344,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",1,40,50,1292,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",1,50,60,1249,1690
"Bowser Lake",35,"56° 25' N","129° 30' W",2,2,5,1248,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",2,3,5,1248,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",2,5,10,1208,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",2,10,15,1171,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",2,15,20,1149,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",2,20,30,1104,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",2,30,40,1093,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",2,40,50,1055,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",2,50,60,1008,1690
"Bowser Lake",35,"56° 25' N","129° 30' W",3,2,5,1802,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",3,3,5,1802,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",3,5,10,1802,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",3,10,15,1748,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",3,15,20,1711,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",3,20,30,1690,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",3,30,40,1649,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",3,40,50,1623,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",3,50,60,1593,1690
"Bowser Lake",35,"56° 25' N","129° 30' W",4,2,5,1115,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",4,3,5,1115,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",4,5,10,1100,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",4,10,15,1062,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",4,15,20,1031,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",4,20,30,993,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",4,30,40,952,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",4,40,50,921,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",4,50,60,861,1690
"Bowser Lake",35,"56° 25' N","129° 30' W",5,2,5,1645,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",5,3,5,1627,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",5,5,10,1522,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",5,10,15,1445,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",5,15,20,1390,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",5,20,30,969,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",5,30,40,765,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",5,40,50,716,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",5,50,60,454,1690
"Bowser Lake",35,"56° 25' N","129° 30' W",6,2,5,1201,3206
"Bowser Lake",35,"56° 25' N","129° 30' W",6,3,5,1065,3081
"Bowser Lake",35,"56° 25' N","129° 30' W",6,5,10,868,2763
"Bowser Lake",35,"56° 25' N","129° 30' W",6,10,15,830,2617
"Bowser Lake",35,"56° 25' N","129° 30' W",6,15,20,788,2470
"Bowser Lake",35,"56° 25' N","129° 30' W",6,20,30,690,2288
"Bowser Lake",35,"56° 25' N","129° 30' W",6,30,40,0,2044
"Bowser Lake",35,"56° 25' N","129° 30' W",6,40,50,0,1893
"Bowser Lake",35,"56° 25' N","129° 30' W",6,50,60,0,1690
"Brannen Lake",161,"49° 13' N","124° 03' W",1,2,5,832,89
"Brannen Lake",161,"49° 13' N","124° 03' W",1,3,5,832,89
"Brannen Lake",161,"49° 13' N","124° 03' W",1,5,10,695,64
"Brannen Lake",161,"49° 13' N","124° 03' W",1,10,15,551,45
"Brannen Lake",161,"49° 13' N","124° 03' W",1,15,20,0,19
"Brannen Lake",161,"49° 13' N","124° 03' W",2,2,5,843,89
"Brannen Lake",161,"49° 13' N","124° 03' W",2,3,5,843,89
"Brannen Lake",161,"49° 13' N","124° 03' W",2,5,10,684,64
"Brannen Lake",161,"49° 13' N","124° 03' W",2,10,15,553,45
"Brannen Lake",161,"49° 13' N","124° 03' W",2,15,20,309,19
"Brannen Lake",161,"49° 13' N","124° 03' W",3,2,5,686,89
"Brannen Lake",161,"49° 13' N","124° 03' W",3,3,5,686,89
"Brannen Lake",161,"49° 13' N","124° 03' W",3,5,10,385,64
"Brannen Lake",161,"49° 13' N","124° 03' W",3,10,15,190,45
"Brannen Lake",161,"49° 13' N","124° 03' W",3,15,20,0,19
"Brannen Lake",161,"49° 13' N","124° 03' W",4,2,5,1135,89
"Brannen Lake",161,"49° 13' N","124° 03' W",4,3,5,1135,89
"Brannen Lake",161,"49° 13' N","124° 03' W",4,5,10,964,64
