"Lake","Code","Latitude","Longitude","Transect","Depth Min (m)","Depth Max (m)","Length (m)","Area (ha)"
"Hesquiat Lake",119,"49° 24' N","126° 30' W",2,40,50,680,318
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,2,5,780,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,3,5,780,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,5,10,760,436
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,10,15,750,421
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,15,20,734,405
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,20,30,710,382
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,30,40,685,350
"Hesquiat Lake",119,"49° 24' N","126° 30' W",3,40,50,650,318
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,2,5,1075,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,3,5,1075,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,5,10,1065,436
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,10,15,1045,421
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,15,20,1025,405
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,20,30,985,382
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,30,40,825,350
"Hesquiat Lake",119,"49° 24' N","126° 30' W",4,40,50,740,318
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,2,5,995,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,3,5,995,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,5,10,975,436
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,10,15,955,421
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,15,20,945,405
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,20,30,910,382
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,30,40,860,350
"Hesquiat Lake",119,"49° 24' N","126° 30' W",5,40,50,810,318
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,2,5,550,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,3,5,550,452
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,5,10,545,436
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,10,15,530,421
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,15,20,500,405
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,20,30,470,382
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,30,40,440,350
"Hesquiat Lake",119,"49° 24' N","126° 30' W",6,40,50,405,318
"Heydon Lake",50,"50° 33' N","125° 40' W",1,2,5,890,862
"Heydon Lake",50,"50° 33' N","125° 40' W",1,3,5,890,862
"Heydon Lake",50,"50° 33' N","125° 40' W",1,5,10,880,818
"Heydon Lake",50,"50° 33' N","125° 40' W",1,10,15,855,772
"Heydon Lake",50,"50° 33' N","125° 40' W",1,15,20,825,728
"Heydon Lake",50,"50° 33' N","125° 40' W",1,20,30,785,677
"Heydon Lake",50,"50° 33' N","125° 40' W",1,30,40,700,618
"Heydon Lake",50,"50° 33' N","125° 40' W",1,40,50,630,563
"Heydon Lake",50,"50° 33' N","125° 40' W",2,2,5,1120,862
"Heydon Lake",50,"50° 33' N","125° 40' W",2,3,5,1120,862
"Heydon Lake",50,"50° 33' N","125° 40' W",2,5,10,1115,818
"Heydon Lake",50,"50° 33' N","125° 40' W",2,10,15,1100,772
"Heydon Lake",50,"50° 33' N","125° 40' W",2,15,20,1080,728
"Heydon Lake",50,"50° 33' N","125° 40' W",2,20,30,1045,677
"Heydon Lake",50,"50° 33' N","125° 40' W",2,30,40,1000,618
"Heydon Lake",50,"50° 33' N","125° 40' W",2,40,50,910,563
"Heydon Lake",50,"50° 33' N","125° 40' W",3,2,5,1100,862
"Heydon Lake",50,"50° 33' N","125° 40' W",3,3,5,1100,862
"Heydon Lake",50,"50° 33' N","125° 40' W",3,5,10,1050,818
"Heydon Lake",50,"50° 33' N","125° 40' W",3,10,15,1035,772
"Heydon Lake",50,"50° 33' N","125° 40' W",3,15,20,1005,728
"Heydon Lake",50,"50° 33' N","125° 40' W",3,20,30,960,677
"Heydon Lake",50,"50° 33' N","125° 40' W",3,30,40,895,618
"Heydon Lake",50,"50° 33' N","125° 40' W",3,40,50,830,563
"Heydon Lake",50,"50° 33' N","125° 40' W",4,2,5,1260,862
"Heydon Lake",50,"50° 33' N","125° 40' W",4,3,5,1260,862
"Heydon Lake",50,"50° 33' N","125° 40' W",4,5,10,1245,818
"Heydon Lake",50,"50° 33' N","125° 40' W",4,10,15,1230,772
"Heydon Lake",50,"50° 33' N","125° 40' W",4,15,20,1205,728
"Heydon Lake",50,"50° 33' N","125° 40' W",4,20,30,1180,677
"Heydon Lake",50,"50° 33' N","125° 40' W",4,30,40,1135,618
"Heydon Lake",50,"50° 33' N","125° 40' W",4,40,50,1080,563
"Heydon Lake",50,"50° 33' N","125° 40' W",5,2,5,1255,862
"Heydon Lake",50,"50° 33' N","125° 40' W",5,3,5,1255,862
"Heydon Lake",50,"50° 33' N","125° 40' W",5,5,10,1240,818
"Heydon Lake",50,"50° 33' N","125° 40' W",5,10,15,1235,772
"Heydon Lake",50,"50° 33' N","125° 40' W",5,15,20,1205,728
"Heydon Lake",50,"50° 33' N","125° 40' W",5,20,30,1125,677
"Heydon Lake",50,"50° 33' N","125° 40' W",5,30,40,1070,618
"Heydon Lake",50,"50° 33' N","125° 40' W",5,40,50,1025,563
"Heydon Lake",50,"50° 33' N","125° 40' W",6,2,5,1160,862
"Heydon Lake",50,"50° 33' N","125° 40' W",6,3,5,1160,862
"Heydon Lake",50,"50° 33' N","125° 40' W",6,5,10,1100,818
"Heydon Lake",50,"50° 33' N","125° 40' W",6,10,15,865,772
"Heydon Lake",50,"50° 33' N","125° 40' W",6,15,20,485,728
"Heydon Lake",50,"50° 33' N","125° 40' W",6,20,30,0,677
"Heydon Lake",50,"50° 33' N","125° 40' W",6,30,40,0,618
"Heydon Lake",50,"50° 33' N","125° 40' W",6,40,50,0,563
"Heydon Lake",50,"50° 33' N","125° 40' W",7,2,5,710,862
"Heydon Lake",50,"50° 33' N","125° 40' W",7,3,5,710,862
"Heydon Lake",50,"50° 33' N","125° 40' W",7,5,10,693,818
"Heydon Lake",50,"50° 33' N","125° 40' W",7,10,15,670,772
"Heydon Lake",50,"50° 33' N","125° 40' W",7,15,20,638,728
"Heydon Lake",50,"50° 33' N","125° 40' W",7,20,30,602,677
"Heydon Lake",50,"50° 33' N","125° 40' W",7,30,40,550,618
"Heydon Lake",50,"50° 33' N","125° 40' W",7,40,50,475,563
"Heydon Lake",50,"50° 33' N","125° 40' W",8,2,5,338,862
"Heydon Lake",50,"50° 33' N","125° 40' W",8,3,5,338,862
"Heydon Lake",50,"50° 33' N","125° 40' W",8,5,10,320,818
"Heydon Lake",50,"50° 33' N","125° 40' W",8,10,15,303,772
"Heydon Lake",50,"50° 33' N","125° 40' W",8,15,20,271,728
"Heydon Lake",50,"50° 33' N","125° 40' W",8,20,30,0,677
"Heydon Lake",50,"50° 33' N","125° 40' W",8,30,40,0,618
"Heydon Lake",50,"50° 33' N","125° 40' W",8,40,50,0,563
"Heydon_2005",250,NA,NA,1,2,5,1554,862
"Heydon_2005",250,NA,NA,1,3,5,1554,862
"Heydon_2005",250,NA,NA,1,5,10,1528,818
"Heydon_2005",250,NA,NA,1,10,15,1511,772
"Heydon_2005",250,NA,NA,1,15,20,1471,728
"Heydon_2005",250,NA,NA,1,20,30,1438,677
"Heydon_2005",250,NA,NA,1,30,40,1327,618
"Heydon_2005",250,NA,NA,1,40,50,1211,563
"Heydon_2005",250,NA,NA,2,2,5,1713,862
"Heydon_2005",250,NA,NA,2,3,5,1699,862
"Heydon_2005",250,NA,NA,2,5,10,1699,818
"Heydon_2005",250,NA,NA,2,10,15,1699,772
"Heydon_2005",250,NA,NA,2,15,20,1638,728
"Heydon_2005",250,NA,NA,2,20,30,1580,677
"Heydon_2005",250,NA,NA,2,30,40,1402,618
"Heydon_2005",250,NA,NA,2,40,50,1392,563
"Heydon_2005",250,NA,NA,3,2,5,1220,862
"Heydon_2005",250,NA,NA,3,3,5,1220,862
"Heydon_2005",250,NA,NA,3,5,10,1220,818
"Heydon_2005",250,NA,NA,3,10,15,1220,772
"Heydon_2005",250,NA,NA,3,15,20,1206,728
"Heydon_2005",250,NA,NA,3,20,30,1160,677
"Heydon_2005",250,NA,NA,3,30,40,1080,618
"Heydon_2005",250,NA,NA,3,40,50,997,563
"Heydon_2005",250,NA,NA,4,2,5,1352,862
"Heydon_2005",250,NA,NA,4,3,5,1352,862
"Heydon_2005",250,NA,NA,4,5,10,1352,818
"Heydon_2005",250,NA,NA,4,10,15,1332,772
"Heydon_2005",250,NA,NA,4,15,20,1303,728
"Heydon_2005",250,NA,NA,4,20,30,1252,677
"Heydon_2005",250,NA,NA,4,30,40,1189,618
"Heydon_2005",250,NA,NA,4,40,50,1114,563
"Heydon_2005",250,NA,NA,5,2,5,1437,862
"Heydon_2005",250,NA,NA,5,3,5,1437,862
"Heydon_2005",250,NA,NA,5,5,10,1437,818
"Heydon_2005",250,NA,NA,5,10,15,1417,772
"Heydon_2005",250,NA,NA,5,15,20,1392,728
"Heydon_2005",250,NA,NA,5,20,30,1343,677
"Heydon_2005",250,NA,NA,5,30,40,1156,618
"Heydon_2005",250,NA,NA,5,40,50,1007,563
"Heydon_2005",250,NA,NA,6,2,5,1497,862
"Heydon_2005",250,NA,NA,6,3,5,1497,862
"Heydon_2005",250,NA,NA,6,5,10,1497,818
"Heydon_2005",250,NA,NA,6,10,15,1492,772
"Heydon_2005",250,NA,NA,6,15,20,1474,728
"Heydon_2005",250,NA,NA,6,20,30,1440,677
"Heydon_2005",250,NA,NA,6,30,40,1384,618
"Heydon_2005",250,NA,NA,6,40,50,1277,563
"Heydon_2005",250,NA,NA,7,2,5,1481,862
"Heydon_2005",250,NA,NA,7,3,5,1481,862
"Heydon_2005",250,NA,NA,7,5,10,1481,818
"Heydon_2005",250,NA,NA,7,10,15,1469,772
"Heydon_2005",250,NA,NA,7,15,20,1438,728
"Heydon_2005",250,NA,NA,7,20,30,1387,677
"Heydon_2005",250,NA,NA,7,30,40,1292,618
"Heydon_2005",250,NA,NA,7,40,50,1216,563
"Heydon_2005",250,NA,NA,8,2,5,846,862
"Heydon_2005",250,NA,NA,8,3,5,846,862
"Heydon_2005",250,NA,NA,8,5,10,846,818
"Heydon_2005",250,NA,NA,8,10,15,802,772
"Heydon_2005",250,NA,NA,8,15,20,766,728
"Heydon_2005",250,NA,NA,8,20,30,698,677
"Heydon_2005",250,NA,NA,8,30,40,608,618
"Heydon_2005",250,NA,NA,8,40,50,527,563
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,2,5,340,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,3,5,340,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,5,10,340,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,10,15,340,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,15,20,300,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,20,30,280,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,30,40,220,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,40,50,0,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",1,50,60,0,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,2,5,320,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,3,5,320,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,5,10,300,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,10,15,280,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,15,20,260,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,20,30,230,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,30,40,200,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,40,50,120,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",2,50,60,0,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,2,5,460,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,3,5,460,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,5,10,460,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,10,15,450,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,15,20,440,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,20,30,400,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,30,40,360,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,40,50,320,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",3,50,60,290,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,2,5,710,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,3,5,710,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,5,10,700,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,10,15,690,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,15,20,660,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,20,30,630,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,30,40,590,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,40,50,550,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",4,50,60,510,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,2,5,340,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,3,5,340,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,5,10,330,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,10,15,300,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,15,20,280,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,20,30,260,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,30,40,180,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,40,50,90,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",5,50,60,0,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,2,5,710,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,3,5,710,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,5,10,710,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,10,15,710,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,15,20,700,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,20,30,655,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,30,40,445,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,40,50,0,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",6,50,60,0,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,2,5,900,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,3,5,900,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,5,10,900,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,10,15,890,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,15,20,870,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,20,30,825,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,30,40,740,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,40,50,550,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",7,50,60,0,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,2,5,1310,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,3,5,1310,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,5,10,1310,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,10,15,1310,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,15,20,1260,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,20,30,1200,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,30,40,1130,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,40,50,1075,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",8,50,60,1015,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,2,5,895,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,3,5,895,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,5,10,895,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,10,15,890,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,15,20,880,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,20,30,825,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,30,40,760,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,40,50,670,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",9,50,60,590,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,2,5,1060,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,3,5,1060,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,5,10,1055,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,10,15,1040,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,15,20,1030,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,20,30,1000,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,30,40,960,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,40,50,845,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",10,50,60,785,25
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,2,5,1120,350
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,3,5,1120,340
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,5,10,1100,334
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,10,15,1070,320
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,15,20,1060,285
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,20,30,1020,252
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,30,40,980,215
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,40,50,855,172
"Hobiton Lake",6,"48° 45' N","124° 49' W",11,50,60,780,25
"Ian Lake",26,"53° 45' N","132° 35' W",1,2,5,410,1809
"Ian Lake",26,"53° 45' N","132° 35' W",1,3,5,410,1809
"Ian Lake",26,"53° 45' N","132° 35' W",1,5,10,357,1631
"Ian Lake",26,"53° 45' N","132° 35' W",1,10,15,300,1470
"Ian Lake",26,"53° 45' N","132° 35' W",1,15,20,237,1322
"Ian Lake",26,"53° 45' N","132° 35' W",1,20,30,119,1146
"Ian Lake",26,"53° 45' N","132° 35' W",1,30,40,0,915
"Ian Lake",26,"53° 45' N","132° 35' W",1,40,50,0,710
"Ian Lake",26,"53° 45' N","132° 35' W",1,50,60,0,578
"Ian Lake",26,"53° 45' N","132° 35' W",1,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",2,2,5,520,1809
"Ian Lake",26,"53° 45' N","132° 35' W",2,3,5,520,1809
"Ian Lake",26,"53° 45' N","132° 35' W",2,5,10,498,1631
"Ian Lake",26,"53° 45' N","132° 35' W",2,10,15,468,1470
"Ian Lake",26,"53° 45' N","132° 35' W",2,15,20,447,1322
"Ian Lake",26,"53° 45' N","132° 35' W",2,20,30,407,1146
"Ian Lake",26,"53° 45' N","132° 35' W",2,30,40,350,915
"Ian Lake",26,"53° 45' N","132° 35' W",2,40,50,229,710
"Ian Lake",26,"53° 45' N","132° 35' W",2,50,60,0,578
"Ian Lake",26,"53° 45' N","132° 35' W",2,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",3,2,5,701,1809
"Ian Lake",26,"53° 45' N","132° 35' W",3,3,5,701,1809
"Ian Lake",26,"53° 45' N","132° 35' W",3,5,10,648,1631
"Ian Lake",26,"53° 45' N","132° 35' W",3,10,15,607,1470
"Ian Lake",26,"53° 45' N","132° 35' W",3,15,20,553,1322
"Ian Lake",26,"53° 45' N","132° 35' W",3,20,30,409,1146
"Ian Lake",26,"53° 45' N","132° 35' W",3,30,40,0,915
"Ian Lake",26,"53° 45' N","132° 35' W",3,40,50,0,710
"Ian Lake",26,"53° 45' N","132° 35' W",3,50,60,0,578
"Ian Lake",26,"53° 45' N","132° 35' W",3,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",4,2,5,1101,1809
"Ian Lake",26,"53° 45' N","132° 35' W",4,3,5,1101,1809
"Ian Lake",26,"53° 45' N","132° 35' W",4,5,10,1001,1631
"Ian Lake",26,"53° 45' N","132° 35' W",4,10,15,754,1470
"Ian Lake",26,"53° 45' N","132° 35' W",4,15,20,691,1322
"Ian Lake",26,"53° 45' N","132° 35' W",4,20,30,580,1146
"Ian Lake",26,"53° 45' N","132° 35' W",4,30,40,437,915
"Ian Lake",26,"53° 45' N","132° 35' W",4,40,50,319,710
"Ian Lake",26,"53° 45' N","132° 35' W",4,50,60,250,578
"Ian Lake",26,"53° 45' N","132° 35' W",4,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",5,2,5,2059,1809
"Ian Lake",26,"53° 45' N","132° 35' W",5,3,5,2059,1809
"Ian Lake",26,"53° 45' N","132° 35' W",5,5,10,1982,1631
"Ian Lake",26,"53° 45' N","132° 35' W",5,10,15,1853,1470
"Ian Lake",26,"53° 45' N","132° 35' W",5,15,20,1681,1322
"Ian Lake",26,"53° 45' N","132° 35' W",5,20,30,1369,1146
"Ian Lake",26,"53° 45' N","132° 35' W",5,30,40,1260,915
"Ian Lake",26,"53° 45' N","132° 35' W",5,40,50,1100,710
"Ian Lake",26,"53° 45' N","132° 35' W",5,50,60,1013,578
"Ian Lake",26,"53° 45' N","132° 35' W",5,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",6,2,5,1583,1809
"Ian Lake",26,"53° 45' N","132° 35' W",6,3,5,1583,1809
"Ian Lake",26,"53° 45' N","132° 35' W",6,5,10,1399,1631
"Ian Lake",26,"53° 45' N","132° 35' W",6,10,15,1272,1470
"Ian Lake",26,"53° 45' N","132° 35' W",6,15,20,1148,1322
"Ian Lake",26,"53° 45' N","132° 35' W",6,20,30,1077,1146
"Ian Lake",26,"53° 45' N","132° 35' W",6,30,40,998,915
"Ian Lake",26,"53° 45' N","132° 35' W",6,40,50,885,710
"Ian Lake",26,"53° 45' N","132° 35' W",6,50,60,790,578
"Ian Lake",26,"53° 45' N","132° 35' W",6,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",7,2,5,766,1809
"Ian Lake",26,"53° 45' N","132° 35' W",7,3,5,766,1809
"Ian Lake",26,"53° 45' N","132° 35' W",7,5,10,652,1631
"Ian Lake",26,"53° 45' N","132° 35' W",7,10,15,505,1470
"Ian Lake",26,"53° 45' N","132° 35' W",7,15,20,0,1322
"Ian Lake",26,"53° 45' N","132° 35' W",7,20,30,0,1146
"Ian Lake",26,"53° 45' N","132° 35' W",7,30,40,0,915
"Ian Lake",26,"53° 45' N","132° 35' W",7,40,50,0,710
"Ian Lake",26,"53° 45' N","132° 35' W",7,50,60,0,578
"Ian Lake",26,"53° 45' N","132° 35' W",7,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",8,2,5,2170,1809
"Ian Lake",26,"53° 45' N","132° 35' W",8,3,5,2170,1809
"Ian Lake",26,"53° 45' N","132° 35' W",8,5,10,2139,1631
"Ian Lake",26,"53° 45' N","132° 35' W",8,10,15,1912,1470
"Ian Lake",26,"53° 45' N","132° 35' W",8,15,20,1721,1322
"Ian Lake",26,"53° 45' N","132° 35' W",8,20,30,1373,1146
"Ian Lake",26,"53° 45' N","132° 35' W",8,30,40,1307,915
"Ian Lake",26,"53° 45' N","132° 35' W",8,40,50,1161,710
"Ian Lake",26,"53° 45' N","132° 35' W",8,50,60,827,578
"Ian Lake",26,"53° 45' N","132° 35' W",8,60,70,0,476
"Ian Lake",26,"53° 45' N","132° 35' W",9,2,5,1923,1809
"Ian Lake",26,"53° 45' N","132° 35' W",9,3,5,1923,1809
"Ian Lake",26,"53° 45' N","132° 35' W",9,5,10,1837,1631
"Ian Lake",26,"53° 45' N","132° 35' W",9,10,15,1806,1470
"Ian Lake",26,"53° 45' N","132° 35' W",9,15,20,1766,1322
"Ian Lake",26,"53° 45' N","132° 35' W",9,20,30,1699,1146
"Ian Lake",26,"53° 45' N","132° 35' W",9,30,40,1615,915
"Ian Lake",26,"53° 45' N","132° 35' W",9,40,50,1639,710
"Ian Lake",26,"53° 45' N","132° 35' W",9,50,60,1450,578
"Ian Lake",26,"53° 45' N","132° 35' W",9,60,70,0,476
"Ingram Lake",182,"52° 38' N","128° 00' W",1,2,5,928,383
"Ingram Lake",182,"52° 38' N","128° 00' W",1,3,5,928,383
"Ingram Lake",182,"52° 38' N","128° 00' W",1,5,10,901,363
"Ingram Lake",182,"52° 38' N","128° 00' W",1,10,15,885,344
"Ingram Lake",182,"52° 38' N","128° 00' W",1,15,20,869,323
"Ingram Lake",182,"52° 38' N","128° 00' W",1,20,30,859,297
"Ingram Lake",182,"52° 38' N","128° 00' W",1,30,40,816,246
"Ingram Lake",182,"52° 38' N","128° 00' W",1,40,50,765,172
"Ingram Lake",182,"52° 38' N","128° 00' W",1,50,60,691,56
"Ingram Lake",182,"52° 38' N","128° 00' W",2,2,5,2619,383
"Ingram Lake",182,"52° 38' N","128° 00' W",2,3,5,2619,383
"Ingram Lake",182,"52° 38' N","128° 00' W",2,5,10,2584,363
"Ingram Lake",182,"52° 38' N","128° 00' W",2,10,15,2555,344
"Ingram Lake",182,"52° 38' N","128° 00' W",2,15,20,2528,323
"Ingram Lake",182,"52° 38' N","128° 00' W",2,20,30,2512,297
"Ingram Lake",182,"52° 38' N","128° 00' W",2,30,40,2427,246
"Ingram Lake",182,"52° 38' N","128° 00' W",2,40,50,2349,172
"Ingram Lake",182,"52° 38' N","128° 00' W",2,50,60,2251,56
"Ingram Lake",182,"52° 38' N","128° 00' W",3,2,5,635,383
"Ingram Lake",182,"52° 38' N","128° 00' W",3,3,5,635,383
"Ingram Lake",182,"52° 38' N","128° 00' W",3,5,10,621,363
"Ingram Lake",182,"52° 38' N","128° 00' W",3,10,15,611,344
"Ingram Lake",182,"52° 38' N","128° 00' W",3,15,20,600,323
"Ingram Lake",182,"52° 38' N","128° 00' W",3,20,30,589,297
"Ingram Lake",182,"52° 38' N","128° 00' W",3,30,40,549,246
"Ingram Lake",182,"52° 38' N","128° 00' W",3,40,50,0,172
"Ingram Lake",182,"52° 38' N","128° 00' W",3,50,60,0,56
"Ingram Lake",182,"52° 38' N","128° 00' W",4,2,5,603,383
"Ingram Lake",182,"52° 38' N","128° 00' W",4,3,5,603,383
"Ingram Lake",182,"52° 38' N","128° 00' W",4,5,10,576,363
"Ingram Lake",182,"52° 38' N","128° 00' W",4,10,15,555,344
"Ingram Lake",182,"52° 38' N","128° 00' W",4,15,20,539,323
"Ingram Lake",182,"52° 38' N","128° 00' W",4,20,30,523,297
"Ingram Lake",182,"52° 38' N","128° 00' W",4,30,40,435,246
"Ingram Lake",182,"52° 38' N","128° 00' W",4,40,50,400,172
"Ingram Lake",182,"52° 38' N","128° 00' W",4,50,60,0,56
"Ingram Lake",182,"52° 38' N","128° 00' W",5,2,5,888,383
"Ingram Lake",182,"52° 38' N","128° 00' W",5,3,5,888,383
"Ingram Lake",182,"52° 38' N","128° 00' W",5,5,10,867,363
"Ingram Lake",182,"52° 38' N","128° 00' W",5,10,15,843,344
"Ingram Lake",182,"52° 38' N","128° 00' W",5,15,20,805,323
"Ingram Lake",182,"52° 38' N","128° 00' W",5,20,30,779,297
"Ingram Lake",182,"52° 38' N","128° 00' W",5,30,40,717,246
"Ingram Lake",182,"52° 38' N","128° 00' W",5,40,50,669,172
"Ingram Lake",182,"52° 38' N","128° 00' W",5,50,60,0,56
